stem,case_id,action,label,gap_px,angle_deg,continuity,len_min,len_max,bright_min,bright_max
32_C08_br223_igf1r,merge_0055_0081,separate,0,22.3,27.4,1.0,207.7,395.7,140.5,149.5
32_C08_br223_igf1r,merge_0106_0133,separate,0,70.0,29.8,1.0,251.5,520.9,135.1,150.0
32_C08_br223_igf1r,merge_0109_0114,separate,0,82.2,24.2,0.975,100.0,231.5,133.0,150.0
32_C08_br223_igf1r,merge_0051_0074,redraw_merge,1,13.8,21.3,1.0,100.3,284.3,143.9,149.9
32_C08_br223_igf1r,merge_0089_0099,redraw_separate,0,55.0,3.9,0.654,113.6,540.7,136.6,146.1
32_C08_br223_igf1r,gt_c08_pos_0005_0048_gt210,merge,1,37.1,8.9,1.0,88.7,189.4,80.6,117.1
32_C08_br223_igf1r,gt_c08_pos_0010_0130_gt077,merge,1,282.3,39.5,1.0,124.7,341.2,89.2,148.4
32_C08_br223_igf1r,gt_c08_pos_0013_0053_gt026,merge,1,43.8,22.2,1.0,111.8,160.8,127.8,130.7
32_C08_br223_igf1r,gt_c08_pos_0034_0119_gt009,merge,1,106.5,54.0,1.0,93.0,414.4,79.8,136.4
32_C08_br223_igf1r,gt_c08_pos_0028_0092_gt027,merge,1,29.5,3.6,1.0,242.7,289.6,119.6,139.5
32_C08_br223_igf1r,gt_c08_pos_0030_0115_gt156,merge,1,205.2,33.6,1.0,174.5,370.7,116.3,138.9
32_C08_br223_igf1r,gt_c08_pos_0032_0077_gt045,merge,1,81.3,6.7,1.0,185.5,304.5,116.0,150.0
32_C08_br223_igf1r,gt_c08_pos_0050_0073_gt161,merge,1,168.6,4.9,0.88,81.7,224.2,134.0,146.4
32_C08_br223_igf1r,gt_c08_pos_0112_0186_gt035,merge,1,108.7,50.7,1.0,255.2,431.8,115.2,126.2
32_C08_br223_igf1r,gt_c08_pos_0078_0151_gt180,merge,1,133.8,8.5,1.0,310.0,320.0,123.5,135.1
32_C08_br223_igf1r,gt_c08_pos_0096_0142_gt125,merge,1,8.9,50.8,1.0,137.5,242.3,102.4,112.3
32_C08_br223_igf1r,gt_c08_pos_0142_0211_gt125,merge,1,311.3,4.1,1.0,111.6,242.3,102.4,128.4
32_C08_br223_igf1r,gt_c08_pos_0100_0162_gt095,merge,1,8.7,18.4,1.0,190.0,513.5,82.8,128.4
32_C08_br223_igf1r,gt_c08_pos_0107_0148_gt134,merge,1,5.4,28.5,1.0,151.9,206.1,57.0,70.0
32_C08_br223_igf1r,gt_c08_pos_0114_0149_gt093,merge,1,56.6,9.0,1.0,81.8,308.8,113.5,122.4
32_C08_br223_igf1r,gt_c08_pos_0125_0188_gt083,merge,1,233.4,18.3,0.957,130.2,132.4,90.7,136.6
32_C08_br223_igf1r,gt_c08_pos_0140_0167_gt031,merge,1,6.5,4.2,1.0,182.9,236.2,72.7,128.9
32_C08_br223_igf1r,gt_c08_pos_0183_0208_gt182,merge,1,8.4,6.5,1.0,136.9,266.8,73.0,132.6
32_C08_br223_igf1r,gt_c08_pos_0200_0215_gt004,merge,1,6.9,62.4,1.0,248.4,342.8,92.3,125.0
32_C08_br223_igf1r,gt_c08_pos_0221_0258_gt090,merge,1,6.3,20.5,1.0,124.5,231.5,92.1,133.0
32_C08_br223_igf1r,gt_c08_pos_0216_0226_gt164,merge,1,38.4,25.7,1.0,125.8,254.2,69.2,98.2
32_C08_br223_igf1r,gt_c08_pos_0226_0232_gt164,merge,1,9.5,22.5,1.0,125.8,149.8,59.1,69.2
32_C08_br223_igf1r,gt_c08_pos_0223_0288_gt118,merge,1,164.9,11.8,1.0,144.8,180.4,128.1,138.1
32_C08_br223_igf1r,gt_c08_pos_0244_0266_gt198,merge,1,46.4,34.2,1.0,61.8,111.4,71.3,146.0
32_C08_br223_igf1r,gt_c08_pos_0227_0252_gt228,merge,1,67.4,16.8,1.0,115.4,237.0,63.0,84.8
32_C08_br223_igf1r,gt_c08_pos_0234_0260_gt166,merge,1,75.8,6.6,1.0,198.8,250.4,60.5,82.8
32_C08_br223_igf1r,gt_c08_pos_0231_0230_gt148,merge,1,8.7,11.3,1.0,119.0,165.4,91.1,144.3
32_C08_br223_igf1r,gt_c08_pos_0236_0256_gt197,merge,1,127.0,9.3,0.919,94.4,94.5,64.5,109.2
32_C08_br223_igf1r,gt_c08_pos_0256_0275_gt197,merge,1,120.1,1.2,1.0,91.0,94.4,109.2,131.4
32_C08_br223_igf1r,gt_c08_pos_0239_0280_gt011,merge,1,27.6,58.4,1.0,150.1,307.6,131.5,138.3
32_C08_br223_igf1r,gt_c08_pos_0328_0372_gt011,merge,1,16.8,63.1,1.0,188.1,846.2,117.5,139.1
32_C08_br223_igf1r,gt_c08_pos_0241_0272_gt114,merge,1,56.1,35.5,1.0,133.4,380.5,80.9,114.8
32_C08_br223_igf1r,gt_c08_pos_0247_0265_gt190,merge,1,68.0,7.2,1.0,169.8,185.0,68.9,114.0
32_C08_br223_igf1r,gt_c08_pos_0259_0269_gt107,merge,1,10.3,54.6,1.0,152.5,213.1,50.9,74.6
32_C08_br223_igf1r,gt_c08_pos_0390_0476_gt005,merge,1,60.0,7.3,1.0,163.7,932.4,56.4,141.8
32_C08_br223_igf1r,gt_c08_pos_0276_0294_gt062,merge,1,105.4,38.2,1.0,83.7,91.8,124.7,125.0
32_C08_br223_igf1r,gt_c08_pos_0290_0282_gt175,merge,1,97.3,7.9,1.0,94.7,303.4,90.3,93.9
32_C08_br223_igf1r,gt_c08_pos_0282_0298_gt175,merge,1,63.9,46.7,0.633,94.5,303.4,73.2,93.9
32_C08_br223_igf1r,gt_c08_pos_0283_0308_gt048,merge,1,299.5,5.3,1.0,81.8,137.0,61.6,94.0
32_C08_br223_igf1r,gt_c08_pos_0331_0348_gt048,merge,1,6.5,31.9,1.0,151.9,383.0,93.1,127.3
32_C08_br223_igf1r,gt_c08_pos_0299_0340_gt074,merge,1,10.7,18.5,1.0,94.0,424.6,141.7,148.8
32_C08_br223_igf1r,gt_c08_pos_0316_0303_gt017,merge,1,6.6,53.7,1.0,316.0,378.5,78.2,116.2
32_C08_br223_igf1r,gt_c08_pos_0312_0329_gt119,merge,1,242.0,1.9,1.0,135.1,198.1,78.9,89.2
32_C08_br223_igf1r,gt_c08_pos_0314_0369_gt078,merge,1,89.6,12.6,0.884,113.6,542.7,71.6,134.5
32_C08_br223_igf1r,gt_c08_pos_0369_0398_gt078,merge,1,10.2,16.5,1.0,102.9,542.7,86.6,134.5
32_C08_br223_igf1r,gt_c08_pos_0345_0349_gt246,merge,1,6.0,17.0,1.0,97.7,100.4,56.4,65.4
32_C08_br223_igf1r,gt_c08_pos_0346_0351_gt030,merge,1,6.9,24.0,1.0,196.5,269.5,101.5,141.1
32_C08_br223_igf1r,gt_c08_pos_0351_0381_gt030,merge,1,188.1,3.0,1.0,196.5,219.6,101.5,121.8
32_C08_br223_igf1r,gt_c08_pos_0381_0434_gt030,merge,1,18.3,57.5,1.0,219.6,707.4,89.0,121.8
32_C08_br223_igf1r,gt_c08_pos_0434_0510_gt030,merge,1,69.4,7.8,1.0,118.2,707.4,89.0,135.0
32_C08_br223_igf1r,gt_c08_pos_0359_0380_gt195,merge,1,57.0,34.2,0.963,91.2,224.0,77.1,150.0
32_C08_br223_igf1r,gt_c08_pos_0365_0378_gt230,merge,1,7.1,20.5,1.0,90.8,197.9,77.4,142.6
32_C08_br223_igf1r,gt_c08_pos_0393_0373_gt066,merge,1,131.5,12.8,1.0,104.4,276.1,77.7,126.4
32_C08_br223_igf1r,gt_c08_pos_0376_0403_gt191,merge,1,207.2,26.8,0.922,111.7,112.7,106.6,149.9
32_C08_br223_igf1r,gt_c08_pos_0400_0479_gt096,merge,1,236.3,11.8,0.923,109.3,213.3,91.0,116.7
32_C08_br223_igf1r,gt_c08_pos_0479_0508_gt096,merge,1,106.6,15.5,1.0,109.3,215.3,91.0,126.9
32_C08_br223_igf1r,gt_c08_pos_0402_0399_gt079,merge,1,6.8,27.8,1.0,256.7,315.2,105.9,145.3
32_C08_br223_igf1r,gt_c08_pos_0410_0436_gt019,merge,1,27.8,40.9,1.0,100.5,143.1,78.5,144.8
32_C08_br223_igf1r,gt_c08_pos_0429_0468_gt071,merge,1,186.7,8.6,0.924,144.2,216.0,67.5,117.6
32_C08_br223_igf1r,gt_c08_pos_0438_0464_gt043,merge,1,86.7,5.9,0.905,79.1,278.7,99.5,148.2
32_C08_br223_igf1r,gt_c08_pos_0432_0445_gt098,merge,1,79.7,2.4,1.0,89.7,282.8,69.4,131.7
32_C08_br223_igf1r,gt_c08_pos_0445_0458_gt098,merge,1,45.4,6.1,1.0,89.7,172.2,69.4,143.4
32_C08_br223_igf1r,gt_c08_pos_0435_0500_gt033,merge,1,316.2,5.1,1.0,101.6,209.5,56.8,108.9
32_C08_br223_igf1r,gt_c08_pos_0442_0461_gt165,merge,1,105.6,24.2,1.0,100.2,153.1,123.8,143.6
32_C08_br223_igf1r,gt_c08_pos_0503_0459_gt041,merge,1,217.6,61.3,1.0,166.2,480.8,80.4,148.5
32_C08_br223_igf1r,gt_c08_pos_0484_0505_gt013,merge,1,142.7,4.3,1.0,79.7,309.6,59.4,143.2
32_C08_br223_igf1r,gt_c08_pos_0480_0524_gt239,merge,1,309.5,12.8,0.523,68.5,163.2,64.6,140.9
32_C08_br223_igf1r,gt_c08_pos_0557_0486_gt001,merge,1,190.2,5.1,1.0,257.0,466.6,76.2,83.3
32_C08_br223_igf1r,gt_c08_pos_0487_0494_gt124,merge,1,12.2,5.9,1.0,98.0,103.6,71.4,98.7
32_C08_br223_igf1r,gt_c08_pos_0494_0506_gt124,merge,1,53.7,10.5,1.0,93.7,103.6,71.4,126.7
32_C08_br223_igf1r,gt_c08_pos_0515_0535_gt124,merge,1,55.2,2.8,1.0,91.4,123.1,57.2,68.5
