stem,case_id,type,action,orig_count,drawn_count,orig_len_px,drawn_len_px,len_ratio,labels
32_C08_br223_igf1r,split_0158,split,redraw,1,2,490.4,953.3,1.944,Myotube 1|Myotube 2
32_C08_br223_igf1r,split_0202,split,redraw,1,1,404.0,424.7,1.051,Myotube 1
32_C08_br223_igf1r,split_0163,split,redraw,1,2,1007.6,1059.4,1.051,Myotube 1|Myotube 2
32_C08_br223_igf1r,split_0301,split,redraw,1,2,323.6,312.6,0.966,Myotube 1|Myotube 2
32_C08_br223_igf1r,split_0078,split,redraw,1,2,875.1,1390.6,1.589,Myotube 1|Myotube 2
32_C08_br223_igf1r,split_0048,split,redraw,1,3,447.0,859.5,1.923,Myotube 1|Myotube 2|Myotube 3
32_C08_br223_igf1r,split_0155,split,redraw,1,1,464.5,378.5,0.815,Myotube 1
32_C08_br223_igf1r,split_0096,split,redraw,1,1,261.6,303.2,1.159,Myotube 1
32_C08_br223_igf1r,split_0212,split,redraw,1,2,589.7,492.7,0.835,Myotube 1|Myotube 2
32_C08_br223_igf1r,split_0037,split,redraw,1,1,537.4,450.8,0.839,Myotube 1
32_C08_br223_igf1r,split_0038,split,redraw,1,1,260.1,309.4,1.189,Myotube 1
32_C08_br223_igf1r,split_0054,split,redraw,1,3,810.6,925.4,1.142,Myotube 1|Myotube 2|Myotube 3
32_C08_br223_igf1r,split_0165,split,redraw,1,1,531.6,467.5,0.879,Myotube 1
32_C08_br223_igf1r,split_0185,split,redraw,1,1,181.2,224.0,1.236,Myotube 1
32_C08_br223_igf1r,split_0205,split,redraw,1,1,546.7,594.8,1.088,Myotube 1
32_C08_br223_igf1r,split_0302,split,redraw,1,1,141.6,169.8,1.199,Myotube 1
32_C08_br223_igf1r,split_0166,split,redraw,1,1,494.3,468.6,0.948,Myotube 1
32_C08_br223_igf1r,split_0064,split,redraw,1,1,662.4,549.5,0.829,Myotube 1
32_C08_br223_igf1r,split_0282,split,redraw,1,3,527.8,964.4,1.827,Myotube 1|Myotube 2|Myotube 3
32_C08_br223_igf1r,split_0002,split,redraw,1,1,163.5,86.1,0.526,Myotube 1
32_C08_br223_igf1r,split_0112,split,redraw,1,2,222.6,267.8,1.203,Myotube 1|Myotube 2
32_C08_br223_igf1r,split_0073,split,redraw,1,4,1031.3,1476.3,1.431,Myotube 1|Myotube 2|Myotube 3|Myotube 4
32_C08_br223_igf1r,split_0223,split,redraw,1,3,916.2,1439.8,1.572,Myotube 1|Myotube 2|Myotube 3
32_C08_br223_igf1r,split_0106,split,redraw,1,3,521.2,771.3,1.48,Myotube 1|Myotube 2|Myotube 3
32_C08_br223_igf1r,split_0081,split,redraw,1,2,396.3,729.0,1.84,Myotube 1|Myotube 2
32_C08_br223_igf1r,split_0000,split,redraw,1,2,236.9,394.2,1.664,Myotube 1|Myotube 2
32_C08_br223_igf1r,split_0003,split,redraw,1,2,135.3,348.5,2.576,Myotube 1|Myotube 2
32_C08_br223_igf1r,split_0008,split,redraw,1,1,189.8,304.5,1.605,Myotube 1
32_C08_br223_igf1r,split_0014,split,redraw,1,3,268.1,446.7,1.666,Myotube 1|Myotube 2|Myotube 3
32_C08_br223_igf1r,split_0017,split,redraw,1,2,396.4,881.9,2.224,Myotube 1|Myotube 2
32_C08_br223_igf1r,split_0020,split,redraw,1,2,340.6,781.7,2.295,Myotube 1|Myotube 2
32_C08_br223_igf1r,split_0036,split,redraw,1,1,384.8,554.7,1.441,Myotube 1
32_C08_br223_igf1r,split_0040,split,redraw,1,2,212.5,549.7,2.587,Myotube 1|Myotube 2
32_C08_br223_igf1r,split_0043,split,redraw,1,1,689.1,748.0,1.085,Myotube 1
32_C08_br223_igf1r,split_0049,split,redraw,1,1,74.9,156.1,2.085,Myotube 1
32_C08_br223_igf1r,split_0055,split,redraw,1,2,208.0,506.4,2.435,Myotube 1|Myotube 2
32_C08_br223_igf1r,split_0056,split,redraw,1,3,308.1,310.4,1.007,Myotube 1|Myotube 2|Myotube 3
32_C08_br223_igf1r,split_0057,split,redraw,1,1,137.0,255.2,1.863,Myotube 1
32_C08_br223_igf1r,split_0058,split,redraw,1,3,300.3,767.1,2.554,Myotube 1|Myotube 2|Myotube 3
32_C08_br223_igf1r,split_0060,split,redraw,1,1,244.6,314.5,1.286,Myotube 1
32_C08_br223_igf1r,split_0062,split,redraw,1,1,209.0,308.8,1.478,Myotube 1
32_C08_br223_igf1r,split_0063,split,redraw,1,3,438.1,977.2,2.23,Myotube 1|Myotube 2|Myotube 3
32_C08_br223_igf1r,split_0077,split,redraw,1,2,651.5,865.8,1.329,Myotube 1|Myotube 2
32_C08_br223_igf1r,split_0100,split,redraw,1,1,77.4,157.8,2.038,Myotube 1
32_C08_br223_igf1r,split_0102,split,redraw,1,1,177.1,261.9,1.479,Myotube 1
32_C08_br223_igf1r,split_0110,split,redraw,1,3,1018.8,1731.0,1.699,Myotube 1|Myotube 2|Myotube 3
32_C08_br223_igf1r,split_0127,split,redraw,1,1,463.6,447.7,0.966,Myotube 1
32_C08_br223_igf1r,split_0135,split,redraw,1,1,453.6,483.0,1.065,Myotube 1
32_C08_br223_igf1r,split_0142,split,redraw,1,3,258.2,1027.5,3.979,Myotube 1|Myotube 2|Myotube 3
32_C08_br223_igf1r,split_0164,split,redraw,1,1,300.3,516.9,1.722,Myotube 1
32_C08_br223_igf1r,split_0181,split,redraw,1,1,229.0,340.3,1.486,Myotube 1
32_C08_br223_igf1r,split_0191,split,redraw,1,1,192.4,287.9,1.496,Myotube 1
32_C08_br223_igf1r,split_0193,split,redraw,1,1,271.4,316.8,1.167,Myotube 1
32_C08_br223_igf1r,split_0211,split,redraw,1,1,233.4,281.9,1.207,Myotube 1
32_C08_br223_igf1r,split_0213,split,redraw,1,2,376.6,693.0,1.84,Myotube 1|Myotube 2
32_C08_br223_igf1r,split_0218,split,redraw,1,1,268.4,373.6,1.392,Myotube 1
32_C08_br223_igf1r,split_0226,split,redraw,1,3,232.4,620.5,2.67,Myotube 1|Myotube 2|Myotube 3
32_C08_br223_igf1r,split_0227,split,redraw,1,1,299.1,331.8,1.109,Myotube 1
32_C08_br223_igf1r,split_0250,split,redraw,1,1,682.1,758.9,1.113,Myotube 1
32_C08_br223_igf1r,split_0267,split,redraw,1,1,387.8,547.2,1.411,Myotube 1
32_C08_br223_igf1r,split_0274,split,redraw,1,1,210.2,283.2,1.347,Myotube 1
32_C08_br223_igf1r,split_0293,split,redraw,1,1,445.6,534.0,1.198,Myotube 1
32_C08_br223_igf1r,split_0298,split,redraw,1,2,319.1,615.9,1.93,Myotube 1|Myotube 2
32_C08_br223_igf1r,split_0303,split,redraw,1,2,323.0,414.7,1.284,Myotube 1|Myotube 2
