stem,case_id,action,label,length_px,brightness,longest_dark_px,max_bend_deg,n_gap,n_kink
32_C08_br223_igf1r,split_0171,keep,0,321.4,107.1,94.0,76.6,1,0
32_C08_br223_igf1r,split_0013,reject,0,69.3,150.0,0.0,179.1,0,1
32_C08_br223_igf1r,split_0146,keep,0,505.9,150.0,0.0,162.8,0,1
32_C08_br223_igf1r,split_0177,keep,0,554.5,144.7,0.0,111.3,0,1
32_C08_br223_igf1r,split_0080,reject,0,74.0,149.8,0.0,90.0,0,1
32_C08_br223_igf1r,split_0121,keep,0,385.7,148.9,0.0,90.0,0,1
32_C08_br223_igf1r,split_0151,keep,0,591.4,133.7,0.0,90.0,0,2
32_C08_br223_igf1r,split_0154,keep,0,440.6,129.4,0.0,90.0,0,1
32_C08_br223_igf1r,split_0159,keep,0,435.1,150.0,0.0,90.0,0,2
32_C08_br223_igf1r,split_0179,keep,0,297.8,147.1,0.0,90.0,0,2
32_C08_br223_igf1r,split_0197,keep,0,848.5,149.4,0.0,90.0,0,1
32_C08_br223_igf1r,split_0201,keep,0,1259.5,148.1,0.0,90.0,0,2
32_C08_br223_igf1r,split_0207,keep,0,455.4,149.9,0.0,90.0,0,1
32_C08_br223_igf1r,split_0236,keep,0,153.1,143.6,0.0,90.0,0,1
32_C08_br223_igf1r,split_0248,keep,0,111.1,149.9,0.0,90.0,0,1
32_C08_br223_igf1r,split_0261,keep,0,398.2,138.9,0.0,90.0,0,1
32_C08_br223_igf1r,split_0277,keep,0,241.2,138.3,0.0,90.0,0,2
32_C08_br223_igf1r,split_0286,keep,0,136.5,150.0,0.0,90.0,0,1
32_C08_br223_igf1r,split_0287,reject,0,167.7,150.0,0.0,90.0,0,1
32_C08_br223_igf1r,split_0321,keep,0,404.2,142.1,0.0,90.0,0,2
32_C08_br223_igf1r,split_0325,keep,0,244.5,145.8,0.0,90.0,0,1
32_C08_br223_igf1r,split_0206,keep,0,317.7,148.8,0.0,87.2,0,1
32_C08_br223_igf1r,split_0272,keep,0,516.7,149.8,0.0,80.1,0,1
32_C08_br223_igf1r,split_0158,redraw_split,1,490.2,120.6,124.0,180.0,1,1
32_C08_br223_igf1r,split_0202,redraw_keep,0,403.9,105.8,144.0,179.6,1,1
32_C08_br223_igf1r,split_0163,redraw_split,1,1006.3,141.1,98.0,90.0,1,0
32_C08_br223_igf1r,split_0301,redraw_split,1,323.4,111.3,94.0,0.0,1,0
32_C08_br223_igf1r,split_0078,redraw_split,1,873.9,124.8,78.0,90.0,2,0
32_C08_br223_igf1r,split_0048,redraw_split,1,446.7,123.6,76.0,90.0,1,0
32_C08_br223_igf1r,split_0155,redraw_keep,0,464.2,127.1,76.0,136.7,1,0
32_C08_br223_igf1r,split_0096,redraw_keep,0,261.4,118.7,74.0,175.9,1,1
32_C08_br223_igf1r,split_0212,redraw_split,1,589.5,117.5,70.0,177.6,2,2
32_C08_br223_igf1r,split_0037,redraw_keep,0,537.0,135.1,68.0,90.0,1,2
32_C08_br223_igf1r,split_0038,redraw_keep,0,259.8,145.3,0.0,138.6,0,3
32_C08_br223_igf1r,split_0054,redraw_split,1,810.0,142.9,0.0,180.0,0,5
32_C08_br223_igf1r,split_0165,redraw_keep,0,531.0,142.8,0.0,180.0,0,1
32_C08_br223_igf1r,split_0185,redraw_keep,0,181.4,132.3,0.0,121.8,0,2
32_C08_br223_igf1r,split_0205,redraw_keep,0,545.9,146.9,0.0,180.0,0,1
32_C08_br223_igf1r,split_0302,redraw_keep,0,141.5,141.9,0.0,178.4,0,1
32_C08_br223_igf1r,split_0166,redraw_keep,0,493.9,124.6,60.0,90.0,1,1
32_C08_br223_igf1r,split_0064,redraw_keep,0,662.0,123.6,56.0,0.0,1,0
32_C08_br223_igf1r,split_0282,redraw_split,1,527.4,133.8,56.0,92.8,1,4
32_C08_br223_igf1r,split_0002,redraw_keep,0,163.2,140.3,0.0,101.4,0,2
32_C08_br223_igf1r,split_0112,redraw_split,1,222.4,119.1,54.0,90.0,1,0
32_C08_br223_igf1r,split_0073,redraw_split,1,1030.5,140.6,52.0,0.0,2,0
32_C08_br223_igf1r,split_0223,redraw_split,1,915.2,138.5,52.0,90.0,2,1
32_C08_br223_igf1r,split_0106,redraw_split,1,520.9,135.1,48.0,90.0,1,3
32_C08_br223_igf1r,split_0081,redraw_split,1,395.7,140.5,0.0,91.7,0,1
32_C08_br223_igf1r,split_0000,redraw_split,1,236.5,137.4,0.0,90.0,0,1
32_C08_br223_igf1r,split_0003,redraw_split,1,135.1,150.0,0.0,90.0,0,1
32_C08_br223_igf1r,split_0008,redraw_keep,0,189.5,150.0,0.0,90.0,0,1
32_C08_br223_igf1r,split_0014,redraw_split,1,267.8,149.4,0.0,90.0,0,1
32_C08_br223_igf1r,split_0017,redraw_split,1,396.3,146.8,0.0,90.0,0,2
32_C08_br223_igf1r,split_0020,redraw_split,1,340.4,126.6,0.0,90.0,0,1
32_C08_br223_igf1r,split_0036,redraw_keep,0,384.5,122.3,0.0,90.0,0,1
32_C08_br223_igf1r,split_0040,redraw_split,1,212.3,150.0,0.0,90.0,0,2
32_C08_br223_igf1r,split_0043,redraw_keep,0,688.5,150.0,0.0,90.0,0,2
32_C08_br223_igf1r,split_0049,redraw_keep,0,74.7,150.0,0.0,90.0,0,1
32_C08_br223_igf1r,split_0055,redraw_split,1,207.7,149.5,0.0,90.0,0,1
32_C08_br223_igf1r,split_0056,redraw_split,1,307.7,145.4,0.0,90.0,0,1
32_C08_br223_igf1r,split_0057,redraw_keep,0,136.8,150.0,0.0,90.0,0,1
32_C08_br223_igf1r,split_0058,redraw_split,1,299.9,150.0,0.0,90.0,0,2
32_C08_br223_igf1r,split_0060,redraw_keep,0,244.2,150.0,0.0,90.0,0,1
32_C08_br223_igf1r,split_0062,redraw_keep,0,208.7,142.5,0.0,90.0,0,1
32_C08_br223_igf1r,split_0063,redraw_split,1,437.5,149.9,0.0,90.0,0,2
32_C08_br223_igf1r,split_0077,redraw_split,1,650.5,143.7,0.0,90.0,0,1
32_C08_br223_igf1r,split_0100,redraw_keep,0,77.4,149.9,0.0,90.0,0,1
32_C08_br223_igf1r,split_0102,redraw_keep,0,176.9,150.0,0.0,90.0,0,1
32_C08_br223_igf1r,split_0110,redraw_split,1,1017.5,147.5,0.0,90.0,0,3
32_C08_br223_igf1r,split_0127,redraw_keep,0,463.0,145.3,0.0,90.0,0,1
32_C08_br223_igf1r,split_0135,redraw_keep,0,452.9,146.7,0.0,90.0,0,2
32_C08_br223_igf1r,split_0142,redraw_split,1,257.9,149.8,0.0,90.0,0,2
32_C08_br223_igf1r,split_0164,redraw_keep,0,299.9,136.4,0.0,90.0,0,2
32_C08_br223_igf1r,split_0181,redraw_keep,0,228.7,147.9,0.0,90.0,0,1
32_C08_br223_igf1r,split_0191,redraw_keep,0,192.2,150.0,0.0,90.0,0,1
32_C08_br223_igf1r,split_0193,redraw_keep,0,271.2,149.1,0.0,90.0,0,1
32_C08_br223_igf1r,split_0211,redraw_keep,0,233.1,149.8,0.0,90.0,0,2
32_C08_br223_igf1r,split_0213,redraw_split,1,376.3,137.3,0.0,90.0,0,2
32_C08_br223_igf1r,split_0218,redraw_keep,0,267.9,146.2,0.0,90.0,0,1
32_C08_br223_igf1r,split_0226,redraw_split,1,232.3,150.0,0.0,90.0,0,2
32_C08_br223_igf1r,split_0227,redraw_keep,0,299.0,150.0,0.0,90.0,0,1
32_C08_br223_igf1r,split_0250,redraw_keep,0,681.2,140.9,0.0,90.0,0,1
32_C08_br223_igf1r,split_0267,redraw_keep,0,387.3,147.5,0.0,90.0,0,1
32_C08_br223_igf1r,split_0274,redraw_keep,0,209.9,146.1,0.0,90.0,0,1
32_C08_br223_igf1r,split_0293,redraw_keep,0,445.1,147.0,0.0,90.0,0,2
32_C08_br223_igf1r,split_0298,redraw_split,1,318.8,147.4,0.0,90.0,0,1
32_C08_br223_igf1r,split_0303,redraw_split,1,322.6,139.4,0.0,90.0,0,1
32_C08_br223_igf1r,split_0307,redraw_split,1,287.3,140.2,0.0,90.0,0,2
32_C08_br223_igf1r,split_0312,redraw_split,1,223.6,150.0,0.0,90.0,0,2
32_C08_br223_igf1r,split_0315,redraw_split,1,155.8,147.3,0.0,90.0,0,1
32_C08_br223_igf1r,split_0124,redraw_split,1,347.7,140.2,38.0,72.8,1,1
32_C08_br223_igf1r,split_0021,redraw_keep,0,305.2,142.4,0.0,75.2,0,1
32_C08_br223_igf1r,split_0122,redraw_keep,0,301.6,133.3,0.0,70.5,0,1
