 ,Area,Mean,Min,Max,Length
1,317.427,4403.237,531.048,42133.801,468.814
2,416.491,4402.042,519.000,55166.602,591.363
3,5573100.339,908.184,0.000,60571.000,0.000
4,307.732,3622.109,495.240,37167.828,448.392
5,304.781,1057.836,479.300,11030.913,450.460
6,302.251,4889.199,0.000,57291.613,439.109
7,392.463,1491.292,506.000,23836.807,574.076
8,292.556,2693.565,479.520,47000.910,430.910
9,143.749,5891.930,489.000,47768.641,210.851
10,474.244,2393.221,521.807,29961.809,697.446
11,231.009,4654.566,508.000,57560.000,340.685
12,282.017,2285.896,425.000,14337.000,403.601
13,245.764,1242.765,505.000,23780.000,356.698
14,333.868,5166.433,530.652,44951.133,484.272
15,104.123,11117.686,584.880,58238.422,154.087
16,585.955,3892.560,462.080,34645.133,835.939
17,623.894,2175.410,467.191,58444.000,895.739
18,137.425,679.653,458.280,1327.000,194.028
19,271.057,1257.999,474.500,20885.000,387.598
20,209.932,1099.826,498.440,6496.643,316.955
21,122.671,8546.635,537.040,48199.957,176.943
22,125.200,3127.089,537.900,37369.000,186.985
23,314.898,1051.442,451.438,11692.284,465.990
24,75.457,2037.026,457.000,4773.708,110.363
25,201.079,1355.832,0.000,10457.258,296.983
26,161.032,3101.400,560.820,17548.715,235.085
27,247.450,4811.000,484.280,29729.660,356.101
28,335.554,8187.074,506.725,41807.172,498.546
29,289.605,1826.356,428.511,43075.000,424.630
30,218.784,8581.403,550.000,52277.859,307.815
31,230.166,1759.728,496.210,23186.000,339.676
32,275.272,4939.102,497.000,58664.000,402.821
33,271.900,5168.498,492.000,38957.180,396.272
34,234.382,676.784,471.520,1386.480,342.846
35,279.488,1526.097,501.150,7546.850,425.377
36,474.665,2704.307,464.660,18681.791,702.960
37,322.907,735.381,474.160,4019.500,486.489
38,248.715,1033.121,488.130,4506.087,365.786
39,478.038,861.937,490.000,6616.000,690.699
40,233.117,4970.264,450.200,24106.830,351.558
41,207.824,1146.604,466.968,10483.600,307.874
42,209.089,2947.881,491.890,46140.699,306.464
