 ,Label,Area,Mean,Min,Max,Length
1,22_B03_act104_egfrc-1.nd2:0166-1552,201.922,6216.763,489.000,34971.039,239.487
2,22_B03_act104_egfrc-1.nd2:0194-0378,163.983,3938.619,1223.000,12538.000,233.821
3,22_B03_act104_egfrc-1.nd2:0514-0934,364.219,1807.562,517.000,13641.000,523.315
4,22_B03_act104_egfrc-1.nd2:0464-0872,193.491,4184.569,548.920,19269.000,274.125
5,22_B03_act104_egfrc-1.nd2:0284-0738,254.616,3711.949,663.000,17835.000,364.417
6,22_B03_act104_egfrc-1.nd2:0832-0708,429.138,2773.282,530.200,23557.561,629.936
7,22_B03_act104_egfrc-1.nd2:1520-1868,403.845,2611.331,517.000,14070.380,537.125
8,22_B03_act104_egfrc-1.nd2:1668-1264,274.429,1661.977,503.000,7809.000,381.675
9,22_B03_act104_egfrc-1.nd2:1894-0872,579.631,2147.385,482.340,8479.359,760.998
10,22_B03_act104_egfrc-1.nd2:1940-3406,104.123,2292.454,534.520,10074.196,141.864
11,22_B03_act104_egfrc-1.nd2:0902-3600,182.531,776.456,479.000,1891.000,260.291
12,22_B03_act104_egfrc-1.nd2:2928-2698,1025.631,1639.437,461.840,19994.000,1323.340
13,22_B03_act104_egfrc-1.nd2:1638-0866,142.062,1718.563,466.000,7706.000,180.862
14,22_B03_act104_egfrc-1.nd2:1492-1162,104.544,1359.793,485.000,5753.000,132.870
15,22_B03_act104_egfrc-1.nd2:1364-1434,188.854,2540.769,472.000,7139.000,244.339
16,22_B03_act104_egfrc-1.nd2:0304-0594,232.274,2830.550,539.160,20155.000,340.182
17,22_B03_act104_egfrc-1.nd2:0224-0984,190.962,2867.560,515.160,16028.000,280.003
18,22_B03_act104_egfrc-1.nd2:1052-0454,872.187,1627.804,463.000,25521.000,1244.023
19,22_B03_act104_egfrc-1.nd2:0144-1084,103.701,1983.068,478.000,5399.320,146.754
20,22_B03_act104_egfrc-1.nd2:0260-2284,257.567,2871.263,499.000,11716.000,321.903
21,22_B03_act104_egfrc-1.nd2:0382-0106,365.484,1417.303,472.000,6801.000,499.123
22,22_B03_act104_egfrc-1.nd2:0090-3432,78.408,8533.139,1292.000,20898.699,117.903
23,22_B03_act104_egfrc-1.nd2:0210-3604,153.444,2419.263,0.000,9750.847,218.169
24,22_B03_act104_egfrc.nd2:c:3/3 - 22_B03_act104_egfrc.nd2 (series 1),5573100.339,1195.496,0.000,37128.000,0.000
25,22_B03_act104_egfrc.nd2:c:3/3 - 22_B03_act104_egfrc.nd2 (series 1),5573100.339,1195.496,0.000,37128.000,0.000
26,22_B03_act104_egfrc-1.nd2:0662-3466,502.909,1030.429,470.000,5430.000,702.169
27,22_B03_act104_egfrc-1.nd2:0962-3436,214.991,1666.480,516.794,5786.091,285.896
28,22_B03_act104_egfrc-1.nd2:1100-3552,325.437,1105.694,477.000,3952.000,455.657
29,22_B03_act104_egfrc-1.nd2:0654-0518,239.440,4443.285,618.000,12055.040,347.028
30,22_B03_act104_egfrc-1.nd2:0524-1058,225.529,2510.133,517.680,9166.650,327.571
31,22_B03_act104_egfrc-1.nd2:0486-1118,173.679,5419.346,551.520,31021.000,241.540
32,22_B03_act104_egfrc-1.nd2:0238-1270,251.244,3141.887,0.000,17342.900,332.140
33,22_B03_act104_egfrc-1.nd2:0404-1190,168.198,5813.893,559.820,23299.000,221.942
34,22_B03_act104_egfrc-1.nd2:0574-0228,508.389,1722.528,460.980,6896.260,718.328
35,22_B03_act104_egfrc-1.nd2:1100-0774,494.057,2051.799,482.000,19587.000,689.963
36,22_B03_act104_egfrc-1.nd2:1444-0680,275.272,1695.624,513.000,5903.000,402.582
37,22_B03_act104_egfrc-1.nd2:0628-1252,262.204,2998.750,471.000,22844.000,370.121
38,22_B03_act104_egfrc-1.nd2:0818-1124,276.958,4036.298,499.000,22626.461,371.568
39,22_B03_act104_egfrc-1.nd2:0906-1120,408.482,1258.398,476.000,7260.530,558.235
40,22_B03_act104_egfrc-1.nd2:1092-0896,105.809,1562.705,539.380,6524.880,157.894
41,22_B03_act104_egfrc-1.nd2:0990-0382,329.231,2476.306,499.000,21450.000,473.984
42,22_B03_act104_egfrc-1.nd2:0728-0238,380.660,1568.711,486.000,7548.000,515.171
43,22_B03_act104_egfrc-1.nd2:0406-0096,389.512,1252.670,487.740,4973.000,527.488
44,22_B03_act104_egfrc-1.nd2:0850-0166,316.163,933.231,489.000,4563.000,403.082
45,22_B03_act104_egfrc-1.nd2:0456-1394,90.633,1602.046,589.000,4274.000,128.683
46,22_B03_act104_egfrc-1.nd2:0592-0342,329.652,1699.945,478.000,8424.340,468.745
47,22_B03_act104_egfrc-1.nd2:1270-0138,120.985,1018.554,486.000,2607.000,157.478
48,22_B03_act104_egfrc-1.nd2:1556-0132,231.009,1319.804,493.000,4312.000,285.016
49,22_B03_act104_egfrc-1.nd2:1088-0228,526.516,1606.662,456.000,14082.000,707.963
50,22_B03_act104_egfrc-1.nd2:1694-0260,317.427,1468.135,476.000,8961.000,419.176
51,22_B03_act104_egfrc-1.nd2:1604-0244,601.552,2520.171,501.000,16057.405,793.720
52,22_B03_act104_egfrc-1.nd2:1440-0816,309.839,2261.065,483.000,11934.160,396.833
53,22_B03_act104_egfrc-1.nd2:1542-0286,401.737,2862.091,479.000,10482.140,520.527
54,22_B03_act104_egfrc-1.nd2:1752-0474,488.576,2321.202,536.240,10003.080,682.728
55,22_B03_act104_egfrc-1.nd2:1148-0830,223.843,1912.381,516.000,9212.000,326.277
56,22_B03_act104_egfrc-1.nd2:1874-0314,239.019,2804.669,543.000,11551.000,306.693
57,22_B03_act104_egfrc-1.nd2:2088-0106,213.726,1268.643,473.000,4430.000,287.577
58,22_B03_act104_egfrc-1.nd2:1844-0874,1346.852,2266.032,491.000,17121.561,1702.305
59,22_B03_act104_egfrc-1.nd2:0292-1848,389.512,1381.575,474.000,13668.050,524.334
60,22_B03_act104_egfrc-1.nd2:0286-2088,158.081,1969.734,559.440,10785.989,202.986
61,22_B03_act104_egfrc-1.nd2:0590-1664,331.338,1404.394,508.000,16162.737,428.174
62,22_B03_act104_egfrc-1.nd2:0488-1528,233.960,1270.196,492.840,8583.000,297.086
63,22_B03_act104_egfrc-1.nd2:2090-0210,265.577,1752.275,450.520,10515.130,360.271
64,22_B03_act104_egfrc-1.nd2:2118-0622,335.975,3775.224,547.000,18679.699,445.684
65,22_B03_act104_egfrc-1.nd2:2212-0550,351.573,6549.350,487.100,38560.000,428.445
66,22_B03_act104_egfrc-1.nd2:1560-0904,221.314,1364.677,498.000,10308.000,276.007
67,22_B03_act104_egfrc-1.nd2:2570-0252,139.112,1833.297,523.640,8428.000,179.602
68,22_B03_act104_egfrc-1.nd2:2216-0768,138.690,10560.959,639.640,28383.340,178.910
69,22_B03_act104_egfrc-1.nd2:2836-0122,311.525,1021.173,448.000,17746.000,445.573
70,22_B03_act104_egfrc-1.nd2:2592-0344,284.125,3511.521,441.000,17240.039,347.845
71,22_B03_act104_egfrc-1.nd2:3510-0104,123.093,979.237,0.000,2368.860,172.827
72,22_B03_act104_egfrc-1.nd2:3194-0458,85.996,1775.614,495.000,14275.980,125.166
73,22_B03_act104_egfrc-1.nd2:1870-1198,167.777,2438.962,576.010,7489.780,228.147
74,22_B03_act104_egfrc-1.nd2:3004-0658,360.847,2430.580,514.000,9903.000,466.030
75,22_B03_act104_egfrc-1.nd2:1740-1310,209.932,2664.881,562.000,6337.000,278.012
76,22_B03_act104_egfrc-1.nd2:2488-0996,128.151,5319.404,591.230,18424.721,160.379
77,22_B03_act104_egfrc-1.nd2:1910-0698,138.268,3750.760,655.000,9656.000,173.946
78,22_B03_act104_egfrc-1.nd2:2848-0340,320.378,2683.918,498.000,24356.109,403.030
79,22_B03_act104_egfrc-1.nd2:2716-0924,296.350,1169.322,440.420,6397.000,367.348
80,22_B03_act104_egfrc-1.nd2:3392-0208,228.902,2215.833,494.000,15367.000,307.790
81,22_B03_act104_egfrc-1.nd2:3518-0252,202.344,833.715,466.000,2089.910,265.328
82,22_B03_act104_egfrc-1.nd2:2906-0794,245.764,2441.615,554.000,7643.650,308.265
83,22_B03_act104_egfrc-1.nd2:2364-0088,113.397,1082.145,452.000,2831.120,146.898
84,22_B03_act104_egfrc-1.nd2:1576-1612,633.168,1633.367,479.320,12333.000,921.458
85,22_B03_act104_egfrc-1.nd2:1018-1292,211.197,1091.865,474.000,5075.000,254.359
86,22_B03_act104_egfrc-1.nd2:2104-0844,95.270,5467.266,597.000,18107.320,115.763
87,22_B03_act104_egfrc-1.nd2:3448-2624,342.720,5984.039,432.000,22352.000,499.339
88,22_B03_act104_egfrc-1.nd2:3222-0372,270.214,1135.973,485.000,5047.000,363.477
89,22_B03_act104_egfrc-1.nd2:0784-0138,258.832,1248.985,491.000,4011.000,341.012
90,22_B03_act104_egfrc-1.nd2:0640-1582,291.713,889.272,452.000,4599.700,360.782
91,22_B03_act104_egfrc-1.nd2:1726-0964,578.367,2748.823,513.000,21775.000,736.479
