 ,Label,Area,Mean,Min,Max,Length
1,29_C05_br223_egfrc-2.nd2:0070-0146,108.760,739.904,501.640,1201.555,155.520
2,29_C05_br223_egfrc-2.nd2:0284-0112,74.614,924.098,536.000,1634.430,98.807
3,29_C05_br223_egfrc-2.nd2:0366-0246,116.769,882.569,493.000,2010.130,164.990
4,29_C05_br223_egfrc-2.nd2:0496-0140,99.064,1113.119,494.000,3251.000,129.143
5,29_C05_br223_egfrc-2.nd2:0480-0336,346.936,2043.422,453.000,16384.000,463.194
6,29_C05_br223_egfrc-2.nd2:0088-0768,93.163,1262.243,474.000,3072.640,114.999
7,29_C05_br223_egfrc-2.nd2:0288-0650,244.077,1063.804,534.310,8070.240,356.539
8,29_C05_br223_egfrc-2.nd2:0464-0640,424.922,2095.512,525.015,8794.740,602.089
9,29_C05_br223_egfrc-2.nd2:0082-0514,74.614,841.200,419.380,1518.477,102.875
10,29_C05_br223_egfrc-2.nd2:0166-0194,67.026,927.201,522.007,1543.000,93.222
11,29_C05_br223_egfrc-2.nd2:0438-0330,239.862,1087.476,485.000,5138.000,308.479
12,29_C05_br223_egfrc-2.nd2:0262-1108,324.172,1293.528,462.000,6658.000,403.454
13,29_C05_br223_egfrc-2.nd2:0044-1250,30.352,6554.667,880.489,23898.000,39.998
14,29_C05_br223_egfrc-2.nd2:0080-0944,77.565,1031.312,466.640,1686.360,105.641
15,29_C05_br223_egfrc-2.nd2:0142-0978,139.533,1020.100,484.000,3598.750,181.958
16,29_C05_br223_egfrc-2.nd2:0202-0992,163.983,907.534,494.770,2406.440,242.338
17,29_C05_br223_egfrc-2.nd2:0534-1222,149.650,2494.728,467.000,15309.000,197.666
18,29_C05_br223_egfrc-2.nd2:0316-1384,109.181,1567.066,526.000,5468.760,144.915
19,29_C05_br223_egfrc-2.nd2:0790-0774,262.626,2445.464,508.660,16074.980,371.169
20,29_C05_br223_egfrc-2.nd2:0624-0604,314.055,2706.790,497.000,14182.000,413.867
21,29_C05_br223_egfrc-2.nd2:1064-0314,448.529,1288.441,531.000,3557.000,591.864
22,29_C05_br223_egfrc-2.nd2:0796-0178,230.588,667.192,451.000,1494.000,307.270
23,29_C05_br223_egfrc-2.nd2:1164-1064,409.747,1292.939,475.000,12024.000,603.701
24,29_C05_br223_egfrc-2.nd2:0858-0462,443.892,828.196,462.800,4164.260,598.388
25,29_C05_br223_egfrc-2.nd2:0986-0254,84.732,911.011,553.710,1850.150,125.777
26,29_C05_br223_egfrc-2.nd2:1118-0250,742.350,779.512,458.000,3757.000,987.253
27,29_C05_br223_egfrc-2.nd2:0224-1772,168.620,1241.738,489.000,4416.000,216.701
28,29_C05_br223_egfrc-2.nd2:0102-1876,151.336,907.778,509.580,2444.000,192.707
29,29_C05_br223_egfrc-2.nd2:0236-2024,300.144,1230.722,529.469,2992.080,385.064
30,29_C05_br223_egfrc-2.nd2:0046-2404,252.087,2371.534,498.180,16719.000,352.005
31,29_C05_br223_egfrc-2.nd2:1356-0366,230.588,951.427,472.640,2392.000,324.683
32,29_C05_br223_egfrc-2.nd2:1226-1284,814.435,1181.661,461.140,7416.000,1077.707
33,29_C05_br223_egfrc-2.nd2:0964-2124,225.529,1146.942,457.500,6792.000,305.070
34,29_C05_br223_egfrc-2.nd2:0226-2366,485.204,2304.712,456.000,17863.760,637.663
35,29_C05_br223_egfrc-2.nd2:0624-2870,584.690,2377.785,487.820,9318.000,837.445
36,29_C05_br223_egfrc-2.nd2:1262-0808,181.267,1312.190,460.200,5920.156,254.155
37,29_C05_br223_egfrc-2.nd2:1176-1106,263.047,1095.747,497.000,4452.620,383.046
38,29_C05_br223_egfrc-2.nd2:1158-1404,188.433,842.030,455.000,3923.180,259.088
39,29_C05_br223_egfrc-2.nd2:1404-0230,204.030,897.700,485.100,2338.810,279.730
40,29_C05_br223_egfrc-2.nd2:1432-0974,224.265,881.134,487.100,3966.460,323.100
41,29_C05_br223_egfrc-2.nd2:1514-1390,204.452,994.219,490.000,2433.885,287.867
42,29_C05_br223_egfrc-2.nd2:1538-1078,360.004,1431.936,486.000,5988.711,520.940
43,29_C05_br223_egfrc-2.nd2:1444-1354,213.726,920.927,454.000,2930.160,292.391
44,29_C05_br223_egfrc-2.nd2:1624-0566,185.060,1153.290,504.000,6962.000,262.906
45,29_C05_br223_egfrc-2.nd2:1512-0066,53.115,862.113,575.000,1187.760,70.193
46,29_C05_br223_egfrc-2.nd2:1408-0418,94.849,1828.483,501.000,5248.000,113.069
47,29_C05_br223_egfrc-2.nd2:1678-0846,749.937,1375.597,465.000,5192.900,1061.998
48,29_C05_br223_egfrc-2.nd2:0618-1540,147.121,699.189,455.000,1711.000,205.791
49,29_C05_br223_egfrc-2.nd2:0446-1358,98.221,777.769,490.000,1653.000,136.979
50,29_C05_br223_egfrc-2.nd2:1286-1772,61.968,729.365,551.000,1337.000,75.849
51,29_C05_br223_egfrc-2.nd2:1378-1872,61.125,817.648,508.000,1386.798,79.284
52,29_C05_br223_egfrc-2.nd2:1726-1722,505.438,958.968,468.620,3937.000,736.538
53,29_C05_br223_egfrc-2.nd2:1868-1848,740.663,1183.714,437.000,16091.000,1040.940
54,29_C05_br223_egfrc-2.nd2:1462-2232,229.323,852.399,466.000,3364.000,294.336
55,29_C05_br223_egfrc-2.nd2:1838-0524,351.994,1732.126,467.500,17211.820,516.737
56,29_C05_br223_egfrc-2.nd2:1752-0996,455.274,850.927,454.000,16586.000,675.168
57,29_C05_br223_egfrc-2.nd2:1836-0790,677.431,1678.368,418.000,6030.600,1000.293
58,29_C05_br223_egfrc-2.nd2:1930-0276,133.210,832.601,454.000,3892.000,186.481
59,29_C05_br223_egfrc-2.nd2:1924-0450,316.584,626.177,446.560,1080.000,458.156
60,29_C05_br223_egfrc-2.nd2:2042-1238,105.388,2387.755,555.100,4856.000,159.456
61,29_C05_br223_egfrc-2.nd2:2032-0838,177.473,810.111,491.280,3869.000,254.938
62,29_C05_br223_egfrc-2.nd2:2090-0544,96.535,1676.203,518.550,10862.400,141.306
63,29_C05_br223_egfrc-2.nd2:2148-0244,210.775,959.316,488.380,13886.000,318.854
64,29_C05_br223_egfrc-2.nd2:2166-1098,402.159,2701.628,333.000,34537.859,591.889
65,29_C05_br223_egfrc-2.nd2:2094-1332,195.178,1903.220,519.000,9915.000,293.694
66,29_C05_br223_egfrc-2.nd2:2034-1492,182.531,701.429,481.380,3784.000,248.623
67,29_C05_br223_egfrc-2.nd2:2200-1318,371.386,1656.872,470.000,19085.527,512.647
68,29_C05_br223_egfrc-2.nd2:2336-0298,163.983,2921.375,450.000,9939.000,237.951
69,29_C05_br223_egfrc-2.nd2:2314-0436,392.042,2168.586,464.720,16014.000,567.762
70,29_C05_br223_egfrc-2.nd2:2352-1028,142.905,1833.661,514.000,7736.360,207.769
71,29_C05_br223_egfrc-2.nd2:2394-1102,219.206,1563.313,473.000,7026.000,295.417
72,29_C05_br223_egfrc-2.nd2:2352-1442,161.454,1728.109,518.000,6349.502,231.195
73,29_C05_br223_egfrc-2.nd2:2252-1430,221.314,747.401,485.000,3700.000,308.112
74,29_C05_br223_egfrc-2.nd2:2800-2606,1135.234,1641.895,479.000,21434.000,1500.447
75,29_C05_br223_egfrc-2.nd2:2380-0260,227.637,877.110,479.360,5103.000,323.186
76,29_C05_br223_egfrc-2.nd2:2460-0970,626.845,904.042,455.000,4491.000,886.901
77,29_C05_br223_egfrc-2.nd2:2192-1732,642.021,1545.959,467.000,11438.000,852.743
78,29_C05_br223_egfrc-2.nd2:2568-1772,381.924,1156.390,485.000,4258.329,560.255
79,29_C05_br223_egfrc-2.nd2:2688-0606,474.244,791.818,438.270,3014.534,663.957
80,29_C05_br223_egfrc-2.nd2:2660-1084,486.469,1008.618,439.620,6176.480,681.622
81,29_C05_br223_egfrc-2.nd2:2720-1712,403.423,858.602,468.050,6659.860,591.363
82,29_C05_br223_egfrc-2.nd2:2428-2276,171.992,1741.363,523.000,9297.840,245.749
83,29_C05_br223_egfrc-2.nd2:2448-0088,95.692,1190.063,523.000,3852.664,125.816
84,29_C05_br223_egfrc-2.nd2:2500-0968,121.828,1868.913,442.000,6872.120,175.399
85,29_C05_br223_egfrc-2.nd2:0208-2024,75.036,2152.918,1178.000,5024.000,98.947
86,29_C05_br223_egfrc-2.nd2:0142-2046,123.093,719.154,442.760,1364.630,167.650
87,29_C05_br223_egfrc-2.nd2:0292-1950,283.282,1426.816,463.000,30502.982,398.710
88,29_C05_br223_egfrc-2.nd2:2746-0248,217.520,781.700,467.000,5116.360,291.275
89,29_C05_br223_egfrc-2.nd2:2852-0704,335.975,1791.773,480.000,7602.000,449.800
90,29_C05_br223_egfrc-2.nd2:2896-2758,270.214,1170.534,474.000,10594.000,351.211
91,29_C05_br223_egfrc-2.nd2:3402-1850,344.828,1601.336,479.840,6161.000,470.528
92,29_C05_br223_egfrc-2.nd2:2878-0388,313.633,882.848,468.550,2652.650,467.088
93,29_C05_br223_egfrc-2.nd2:2952-0796,418.178,791.476,474.320,2107.200,622.350
94,29_C05_br223_egfrc-2.nd2:2934-1518,133.631,764.621,463.000,1830.000,201.852
95,29_C05_br223_egfrc-2.nd2:3110-0358,290.448,903.510,467.920,4089.180,398.814
96,29_C05_br223_egfrc-2.nd2:2978-0416,357.474,1049.405,460.000,8127.780,518.684
97,29_C05_br223_egfrc-2.nd2:3112-0932,423.658,1393.621,491.000,4826.000,568.437
98,29_C05_br223_egfrc-2.nd2:3024-1156,380.238,1317.504,491.000,7337.560,558.373
99,29_C05_br223_egfrc-2.nd2:3212-0916,369.699,1479.491,478.000,11530.000,508.923
100,29_C05_br223_egfrc-2.nd2:1804-2252,296.771,1573.499,464.000,16019.180,390.798
101,29_C05_br223_egfrc-2.nd2:3544-2448,222.578,1760.596,398.620,8127.387,306.982
102,29_C05_br223_egfrc-2.nd2:3482-3152,194.756,2101.208,499.000,12093.717,243.255
103,29_C05_br223_egfrc-2.nd2:3266-0786,120.563,1212.816,536.000,3708.000,169.525
104,29_C05_br223_egfrc-2.nd2:3222-0318,260.518,732.383,471.000,1578.000,374.101
105,29_C05_br223_egfrc-2.nd2:3298-0416,107.917,660.492,449.000,1595.740,151.572
106,29_C05_br223_egfrc-2.nd2:3404-0500,310.261,1190.123,462.000,9785.720,419.001
107,29_C05_br223_egfrc-2.nd2:3420-0166,144.170,1216.731,493.900,2610.740,192.796
108,29_C05_br223_egfrc-2.nd2:3532-0096,71.664,636.191,450.000,1166.920,96.478
109,29_C05_br223_egfrc-2.nd2:3582-0168,48.057,1038.964,535.000,1553.460,70.033
110,29_C05_br223_egfrc-2.nd2:3514-0426,134.053,824.964,459.880,2018.000,183.326
111,29_C05_br223_egfrc-2.nd2:3566-0438,97.378,994.443,469.230,3642.260,143.451
112,29_C05_br223_egfrc-2.nd2:3582-0736,134.053,830.842,432.900,4624.000,179.416
113,29_C05_br223_egfrc-2.nd2:3356-0892,241.970,1745.899,524.000,8636.000,328.931
114,29_C05_br223_egfrc-2.nd2:3232-2246,437.990,1976.104,491.000,15814.000,641.283
115,29_C05_br223_egfrc-2.nd2:3346-1284,168.198,720.541,468.000,1548.540,220.609
116,29_C05_br223_egfrc-2.nd2:3356-1636,73.350,1164.315,524.420,3325.000,109.984
117,29_C05_br223_egfrc-2.nd2:3208-1488,209.089,707.565,475.000,1733.000,284.071
118,29_C05_br223_egfrc-2.nd2:2758-1354,240.705,865.150,497.000,1679.640,349.707
119,29_C05_br223_egfrc-2.nd2:2412-1984,67.026,1851.841,500.000,8326.000,87.506
120,29_C05_br223_egfrc-2.nd2:2528-2290,335.132,996.575,476.000,9128.000,496.064
121,29_C05_br223_egfrc-2.nd2:2546-2158,90.212,3036.157,609.000,7498.000,115.538
122,29_C05_br223_egfrc-2.nd2:2626-2286,295.507,1934.886,477.000,7318.920,401.316
123,29_C05_br223_egfrc-2.nd2:2876-2634,343.985,1091.017,470.000,8319.000,485.255
124,29_C05_br223_egfrc-2.nd2:2998-2340,174.943,3557.546,855.000,16985.689,234.196
125,29_C05_br223_egfrc-2.nd2:3050-2478,307.732,1210.768,501.130,3338.000,439.351
126,29_C05_br223_egfrc-2.nd2:2936-2640,204.873,1239.462,515.000,4799.517,256.162
127,29_C05_br223_egfrc-2.nd2:3164-2854,122.250,1407.311,495.000,5973.400,154.141
128,29_C05_br223_egfrc-2.nd2,387.826,1349.520,468.000,7396.869,500.130
129,29_C05_br223_egfrc-2.nd2:2064-2232,387.826,1349.520,468.000,7396.869,500.130
130,29_C05_br223_egfrc-2.nd2:2240-2582,381.081,7235.968,501.000,24644.330,474.842
131,29_C05_br223_egfrc-2.nd2:0634-2320,261.783,1738.653,474.000,23645.000,331.708
132,29_C05_br223_egfrc-2.nd2:0816-2422,163.140,1266.541,485.000,8053.880,217.590
133,29_C05_br223_egfrc-2.nd2:0816-2352,140.798,1273.266,462.920,6371.840,197.918
134,29_C05_br223_egfrc-2.nd2:0788-2324,25.293,1309.864,535.750,7239.000,34.382
135,29_C05_br223_egfrc-2.nd2:0370-2822,190.541,1923.548,469.000,13053.500,256.734
136,29_C05_br223_egfrc-2.nd2:1164-2664,517.242,1435.660,451.900,10523.240,744.496
137,29_C05_br223_egfrc-2.nd2:0332-2440,342.720,1994.092,452.000,14185.770,453.347
138,29_C05_br223_egfrc-2.nd2:0572-2546,351.151,1189.788,485.000,16656.000,479.226
139,29_C05_br223_egfrc-2.nd2:1054-2502,173.257,4217.730,433.000,18124.000,242.058
140,29_C05_br223_egfrc-2.nd2:0916-2460,131.945,2037.073,575.000,10113.000,178.178
141,29_C05_br223_egfrc-2.nd2:0712-2664,317.427,2664.330,524.000,27104.520,438.175
142,29_C05_br223_egfrc-2.nd2:1744-2354,222.578,2318.189,503.579,9689.000,278.398
143,29_C05_br223_egfrc-2.nd2:1614-2622,201.079,3970.058,537.000,24171.000,298.025
144,29_C05_br223_egfrc-2.nd2:2194-2750,243.656,992.627,486.000,6039.000,337.147
145,29_C05_br223_egfrc-2.nd2:1596-2444,308.153,1195.042,476.340,10580.000,432.957
146,29_C05_br223_egfrc-2.nd2:0448-2336,368.856,1434.863,434.000,8516.000,465.558
147,29_C05_br223_egfrc-2.nd2:0774-2142,97.800,2263.604,492.000,14060.840,148.842
148,29_C05_br223_egfrc-2.nd2:0372-2908,230.588,1997.690,468.560,11549.000,300.767
149,29_C05_br223_egfrc-2.nd2:0910-2732,456.960,1676.061,495.800,9328.580,649.940
150,29_C05_br223_egfrc-2.nd2:0136-3562,129.837,2263.733,643.000,12223.000,168.757
151,29_C05_br223_egfrc-2.nd2:0070-3582,61.968,1520.883,756.000,3214.856,80.792
152,29_C05_br223_egfrc-2.nd2:0126-3540,131.945,1675.948,459.000,8889.000,180.834
153,29_C05_br223_egfrc-2.nd2:0272-3424,309.418,3499.715,488.000,18668.080,397.386
154,29_C05_br223_egfrc-2.nd2:0228-3404,190.119,1653.897,464.000,7360.000,264.973
155,29_C05_br223_egfrc-2.nd2:0392-3186,371.386,2419.094,508.835,13893.660,512.537
156,29_C05_br223_egfrc-2.nd2:0212-3340,226.372,3488.930,534.560,27480.000,297.472
157,29_C05_br223_egfrc-2.nd2:0416-3226,387.826,2258.489,479.000,10138.740,500.240
158,29_C05_br223_egfrc-2.nd2:1164-2944,172.414,4246.698,599.000,10838.000,217.930
159,29_C05_br223_egfrc-2.nd2:0744-2894,207.403,1806.930,473.000,10886.264,299.580
160,29_C05_br223_egfrc-2.nd2:0988-2960,510.497,1947.468,466.400,35121.000,732.052
161,29_C05_br223_egfrc-2.nd2:0844-3116,218.784,3704.259,518.416,20844.000,285.260
162,29_C05_br223_egfrc-2.nd2:3236-3102,458.225,2491.646,440.000,14934.000,589.651
163,29_C05_br223_egfrc-2.nd2:1648-2748,133.631,4729.103,533.000,16565.100,196.144
164,29_C05_br223_egfrc-2.nd2:3154-3088,553.495,2791.801,525.020,15039.000,671.810
165,29_C05_br223_egfrc-2.nd2:2288-3502,108.760,2799.193,525.360,7428.280,151.414
166,29_C05_br223_egfrc-2.nd2:1894-2832,161.032,2749.502,512.900,10082.000,223.601
167,29_C05_br223_egfrc-2.nd2:1532-2904,107.917,6166.791,540.000,16690.000,154.960
168,29_C05_br223_egfrc-2.nd2:2334-3210,252.930,2792.701,479.280,18326.684,358.834
169,29_C05_br223_egfrc-2.nd2:2552-3302,331.338,1860.979,477.860,27969.000,468.346
170,29_C05_br223_egfrc-2.nd2:2510-3450,633.168,1621.791,467.200,13889.000,867.449
171,29_C05_br223_egfrc-2.nd2:3244-3520,300.565,1658.853,450.837,16389.320,431.322
172,29_C05_br223_egfrc-2.nd2:1350-3342,216.255,1005.851,487.800,8119.195,300.895
173,29_C05_br223_egfrc-2.nd2:1342-3478,381.924,727.649,450.000,2211.000,550.541
174,29_C05_br223_egfrc-2.nd2:1916-3164,82.624,3114.041,548.000,9180.407,119.124
175,29_C05_br223_egfrc-2.nd2:2464-3508,460.333,1189.037,467.000,11573.760,641.703
176,29_C05_br223_egfrc-2.nd2:2958-2514,185.482,1237.986,506.920,6781.000,240.863
177,29_C05_br223_egfrc-2.nd2:1412-3242,231.853,5885.390,511.000,25590.000,312.245
178,29_C05_br223_egfrc-2.nd2:3088-3262,333.446,5133.373,531.000,21469.000,454.305
179,29_C05_br223_egfrc-2.nd2:2266-3386,177.894,955.402,480.000,4222.000,245.592
180,29_C05_br223_egfrc-2.nd2:0548-3470,234.382,921.255,487.900,3116.800,348.503
181,29_C05_br223_egfrc-2.nd2:2260-3102,624.737,2703.525,481.000,25538.000,901.381
182,29_C05_br223_egfrc-2.nd2:2580-3464,440.520,1600.982,427.000,20078.000,602.237
183,29_C05_br223_egfrc-2.nd2:1280-3190,651.295,1393.782,473.420,11218.160,873.317
184,29_C05_br223_egfrc-2.nd2:1770-3572,176.208,4802.948,534.070,28319.859,265.744
185,29_C05_br223_egfrc-2.nd2:2054-2774,208.246,2088.920,508.462,7179.950,287.706
186,29_C05_br223_egfrc-2.nd2:2174-3008,191.384,3525.049,503.000,37767.051,278.990
187,29_C05_br223_egfrc-2.nd2:2620-3018,194.335,3045.124,493.980,16292.000,287.345
188,29_C05_br223_egfrc-2.nd2:2542-2956,228.059,1501.019,502.000,8998.000,324.375
189,29_C05_br223_egfrc-2.nd2:2382-2922,255.038,1812.512,503.780,15330.230,353.175
