 ,Label,Area,Mean,Min,Max,Length
1,32_C08_br223_igf1r-1.nd2:2854-2110,424.922,1477.645,544.000,5263.000,587.972
2,32_C08_br223_igf1r-1.nd2:2222-1848,245.764,3827.779,559.000,14410.000,355.042
3,32_C08_br223_igf1r-1.nd2:2028-1810,537.055,4445.481,497.000,30021.832,773.221
4,32_C08_br223_igf1r-1.nd2:1008-1528,278.223,2168.759,505.153,6362.460,387.092
5,32_C08_br223_igf1r-1.nd2:1860-2756,971.251,3008.839,479.520,9231.000,1241.995
6,32_C08_br223_igf1r-1.nd2:3108-1472,190.119,3177.722,599.290,9682.000,243.458
7,32_C08_br223_igf1r-1.nd2:1000-2442,508.389,2866.212,478.000,44205.000,647.260
8,32_C08_br223_igf1r-1.nd2:1204-2700,382.767,1261.149,506.000,7104.491,511.357
9,32_C08_br223_igf1r-1.nd2:0448-2348,379.817,1576.486,501.000,17983.439,529.360
10,32_C08_br223_igf1r-1.nd2:2222-1186,296.771,2570.071,500.000,15260.700,377.450
11,32_C08_br223_igf1r-1.nd2:2988-0770,548.858,2048.154,527.800,18594.961,727.744
12,32_C08_br223_igf1r-1.nd2:1794-2770,829.189,3041.036,490.000,34622.000,1049.101
13,32_C08_br223_igf1r-1.nd2:2046-3112,438.412,2038.845,528.000,26814.000,565.736
14,32_C08_br223_igf1r-1.nd2:2558-3084,331.338,1629.189,526.000,11822.600,435.079
15,32_C08_br223_igf1r-1.nd2:2424-3364,229.323,1674.475,504.000,22242.381,320.921
16,32_C08_br223_igf1r-1.nd2:1908-3208,358.318,3606.155,508.000,27115.000,474.873
17,32_C08_br223_igf1r-1.nd2:0370-3266,366.749,3982.808,522.000,16224.000,498.204
18,32_C08_br223_igf1r-1.nd2:1538-1272,486.047,1804.348,527.800,19937.209,701.499
19,32_C08_br223_igf1r-1.nd2:3086-1596,351.994,2788.389,601.000,13276.860,468.099
20,32_C08_br223_igf1r-1.nd2:2212-2158,137.004,2579.032,546.000,20562.320,170.425
21,32_C08_br223_igf1r-1.nd2:3138-3238,546.750,2878.833,487.000,15853.680,704.376
22,32_C08_br223_igf1r-1.nd2:3338-3240,398.786,2004.321,474.000,12177.000,494.833
23,32_C08_br223_igf1r-1.nd2:2690-2944,477.195,2226.792,462.000,13409.000,627.198
24,32_C08_br223_igf1r-1.nd2:1788-3364,281.595,2262.105,536.340,10953.206,347.349
25,32_C08_br223_igf1r-1.nd2:0260-3566,220.049,1664.045,482.360,5453.000,323.344
26,32_C08_br223_igf1r-1.nd2:0180-3464,163.140,3109.185,481.200,11282.180,229.724
27,32_C08_br223_igf1r-1.nd2:0166-3456,167.777,2041.276,560.720,11933.000,227.417
28,32_C08_br223_igf1r-1.nd2:0288-3362,257.989,1493.984,521.000,8702.000,374.436
29,32_C08_br223_igf1r-1.nd2:1846-1758,434.618,4340.752,536.000,20653.000,612.948
30,32_C08_br223_igf1r-1.nd2:2290-1036,466.656,4328.875,507.000,21476.000,579.952
31,32_C08_br223_igf1r-1.nd2:2278-1416,922.773,2027.589,470.000,11654.000,1202.714
32,32_C08_br223_igf1r-1.nd2:0824-0230,397.100,1096.013,452.000,5263.000,509.064
33,32_C08_br223_igf1r-1.nd2:2244-3482,198.972,2254.780,0.000,11420.016,247.998
34,32_C08_br223_igf1r-1.nd2:2474-3488,345.671,1720.542,592.830,7942.042,437.759
35,32_C08_br223_igf1r-1.nd2:0494-1858,280.331,3719.227,515.000,23431.180,345.282
36,32_C08_br223_igf1r-1.nd2:0514-2816,556.446,1810.104,522.000,12984.860,728.601
37,32_C08_br223_igf1r-1.nd2:0214-2966,207.403,4368.305,583.000,27655.000,286.726
38,32_C08_br223_igf1r-1.nd2:0366-1402,365.905,3567.540,434.240,35681.000,471.078
39,32_C08_br223_igf1r-1.nd2:0270-2050,241.548,1870.532,545.000,8558.960,322.834
40,32_C08_br223_igf1r-1.nd2:2938-1850,467.077,2157.987,511.380,12840.000,619.442
41,32_C08_br223_igf1r-1.nd2:2068-1554,211.618,3623.266,545.900,29757.000,311.016
42,32_C08_br223_igf1r-1.nd2:2504-2318,480.567,2673.603,451.460,16514.000,599.209
43,32_C08_br223_igf1r-1.nd2:2492-2336,378.130,2107.255,473.560,9564.000,489.902
44,32_C08_br223_igf1r-1.nd2:2400-2744,502.909,2085.641,500.000,10232.000,662.584
45,32_C08_br223_igf1r-1.nd2:0288-3102,169.885,5253.770,505.000,33105.000,245.702
46,32_C08_br223_igf1r-1.nd2:0402-3304,553.917,1706.594,0.000,20979.086,698.358
47,32_C08_br223_igf1r-1.nd2:0774-0844,249.979,3922.250,517.000,38596.637,353.914
48,32_C08_br223_igf1r-1.nd2:0886-1568,451.480,1793.404,487.000,5342.000,583.490
49,32_C08_br223_igf1r-1.nd2:1644-1738,588.905,2346.111,496.000,13375.488,790.619
50,32_C08_br223_igf1r-1.nd2:0876-1638,257.989,1705.690,554.000,5730.000,345.958
51,32_C08_br223_igf1r-1.nd2:2454-1278,327.966,1767.004,537.000,23656.000,451.320
52,32_C08_br223_igf1r-1.nd2:2748-0702,313.633,2153.959,507.000,30628.000,392.057
53,32_C08_br223_igf1r-1.nd2:3104-0234,499.537,1475.583,464.000,15212.000,698.398
54,32_C08_br223_igf1r-1.nd2:3326-0578,252.930,1225.054,480.000,5456.520,372.489
55,32_C08_br223_igf1r-1.nd2:3252-1086,486.890,1841.350,538.000,6181.000,615.204
56,32_C08_br223_igf1r-1.nd2:3298-0874,306.888,4345.715,504.120,13487.400,420.887
57,32_C08_br223_igf1r-1.nd2:0272-3124,327.544,3410.264,480.000,17022.000,420.310
58,32_C08_br223_igf1r-1.nd2:0598-1996,472.979,2062.389,496.000,8589.000,590.054
59,32_C08_br223_igf1r-1.nd2:0318-1418,448.951,2054.227,489.000,37809.660,555.952
60,32_C08_br223_igf1r-1.nd2:0322-2144,291.713,5973.937,520.000,30022.000,379.099
61,32_C08_br223_igf1r-1.nd2:0196-1686,257.567,4546.583,646.000,30964.000,316.896
62,32_C08_br223_igf1r-1.nd2:0440-2744,421.972,2614.005,553.000,14929.000,590.878
63,32_C08_br223_igf1r-1.nd2:1594-2276,450.215,3236.852,503.000,32429.680,566.160
64,32_C08_br223_igf1r-1.nd2:2094-1612,136.161,1437.869,525.000,7101.702,180.102
65,32_C08_br223_igf1r-1.nd2:0402-1932,225.108,3159.037,673.000,14071.000,279.961
66,32_C08_br223_igf1r-1.nd2:0722-2716,146.699,3631.375,620.000,9215.000,215.108
67,32_C08_br223_igf1r-1.nd2:2022-2232,408.060,1643.131,459.000,14273.220,556.240
68,32_C08_br223_igf1r-1.nd2:2054-2286,362.955,4092.468,516.460,22313.490,478.812
69,32_C08_br223_igf1r-1.nd2:3532-2354,253.352,3137.882,589.000,14187.780,344.621
70,32_C08_br223_igf1r-1.nd2:0448-3064,225.529,2631.755,524.920,9707.960,328.628
71,32_C08_br223_igf1r-1.nd2:0150-2388,143.749,1962.087,528.000,18447.000,198.491
72,32_C08_br223_igf1r-1.nd2:2290-2232,451.902,2485.214,473.000,21969.631,577.440
73,32_C08_br223_igf1r-1.nd2:0980-0630,438.834,1170.675,429.880,5886.620,572.310
74,32_C08_br223_igf1r-1.nd2:2110-0152,215.412,2257.397,490.000,13901.000,275.351
75,32_C08_br223_igf1r-1.nd2:1656-3436,300.987,1433.215,503.408,5537.450,374.006
76,32_C08_br223_igf1r-1.nd2:2840-3386,271.057,3015.332,530.240,10714.030,352.941
77,32_C08_br223_igf1r-1.nd2:3228-1348,187.168,1689.373,581.000,5816.000,232.825
78,32_C08_br223_igf1r-1.nd2:0350-2884,375.601,2954.369,530.000,14556.000,493.433
79,32_C08_br223_igf1r-1.nd2:1798-3284,468.764,1285.270,513.000,6169.312,595.475
80,32_C08_br223_igf1r-1.nd2:2110-0740,265.577,1230.385,495.000,7935.640,380.411
81,32_C08_br223_igf1r-1.nd2:1336-0806,291.291,1697.639,493.120,9743.000,439.630
82,32_C08_br223_igf1r-1.nd2:1336-0806,291.291,1697.639,493.120,9743.000,439.630
83,32_C08_br223_igf1r-1.nd2:1452-0658,435.461,1283.238,442.000,6432.000,589.894
84,32_C08_br223_igf1r-1.nd2:0778-1108,152.180,1623.995,491.000,7520.000,226.222
85,32_C08_br223_igf1r-1.nd2:0736-3230,322.064,1327.374,492.000,6866.600,409.622
86,32_C08_br223_igf1r-1.nd2:0990-0730,294.663,1406.524,489.400,3657.000,388.107
87,32_C08_br223_igf1r-1.nd2:0356-2566,231.009,1140.741,499.600,4848.000,324.586
88,32_C08_br223_igf1r-1.nd2:0482-1344,216.677,2728.684,527.490,30774.971,290.986
89,32_C08_br223_igf1r-1.nd2:0156-0562,249.136,2050.494,488.836,17124.922,372.214
90,32_C08_br223_igf1r-1.nd2:2438-0134,125.200,2401.279,532.740,13367.209,177.268
91,32_C08_br223_igf1r-1.nd2:2910-0474,427.873,1039.097,464.000,3132.000,563.729
92,32_C08_br223_igf1r-1.nd2:1094-3086,274.008,2515.654,635.000,24980.660,369.249
93,32_C08_br223_igf1r-1.nd2:0494-2772,325.437,3096.193,522.000,21883.750,456.590
94,32_C08_br223_igf1r-1.nd2:0652-1502,252.508,2708.583,478.000,12276.940,352.834
95,32_C08_br223_igf1r-1.nd2:0636-1754,405.531,1629.623,462.482,16721.000,542.129
96,32_C08_br223_igf1r-1.nd2:1030-2882,336.397,3817.170,554.000,28319.738,435.457
97,32_C08_br223_igf1r-1.nd2:0730-3040,436.304,1687.578,490.990,22163.000,583.444
98,32_C08_br223_igf1r-1.nd2:2408-3426,429.138,2086.746,545.000,14667.000,579.924
99,32_C08_br223_igf1r-1.nd2:1218-0476,404.266,1167.228,478.000,5752.750,551.298
100,32_C08_br223_igf1r-1.nd2:2330-0494,260.939,1448.338,485.000,8571.090,344.833
101,32_C08_br223_igf1r-1.nd2:1696-2120,173.679,2854.911,523.000,17565.000,229.995
