 ,Label,Area,Mean,Min,Max,Length
1,33_C09_br223_trka-3.nd2:0702-1460,221.314,1975.032,466.000,13012.000,300.959
2,33_C09_br223_trka-3.nd2:1920-1518,233.960,2393.649,524.000,6862.000,277.244
3,33_C09_br223_trka-3.nd2:1845-1626,399.629,3060.341,533.000,17546.000,528.786
4,33_C09_br223_trka-3.nd2:0987-2001,202.766,2053.678,485.000,6557.000,272.381
5,33_C09_br223_trka-3.nd2:1894-2254,322.064,2234.894,527.000,9225.000,462.985
6,33_C09_br223_trka-3.nd2:2687-1284,733.075,1055.713,442.000,6559.000,1067.622
7,33_C09_br223_trka-3.nd2:1317-1413,274.851,1278.163,470.140,3203.000,342.693
8,33_C09_br223_trka-3.nd2:0817-2650,553.495,884.745,422.000,12334.360,728.562
9,33_C09_br223_trka-3.nd2:0950-0592,470.028,795.385,439.000,3862.000,692.321
10,33_C09_br223_trka-3.nd2:2863-2264,428.716,1002.606,460.000,14068.000,609.420
11,33_C09_br223_trka-3.nd2:3035-2499,403.845,3708.618,484.000,16809.000,534.211
12,33_C09_br223_trka-3.nd2:1570-3083,244.921,1732.853,457.000,13186.000,298.687
13,33_C09_br223_trka-3.nd2:1778-2860,359.161,630.866,437.000,1870.850,495.322
14,33_C09_br223_trka-3.nd2:1643-2847,248.715,1232.398,445.000,5907.840,352.037
15,33_C09_br223_trka-3.nd2:1886-2021,471.293,3936.104,484.000,20840.146,608.293
16,33_C09_br223_trka-3.nd2:0847-2237,408.060,1953.803,442.000,23542.000,560.417
17,33_C09_br223_trka-3.nd2:1177-2265,494.900,2204.743,469.000,12268.000,656.750
18,33_C09_br223_trka-3.nd2:3273-2304,609.561,1990.570,454.000,10526.420,805.280
19,33_C09_br223_trka-3.nd2:3425-2207,349.887,3200.002,450.160,22882.461,462.015
20,33_C09_br223_trka-3.nd2:3445-2572,339.348,1610.562,482.000,16134.000,442.015
21,33_C09_br223_trka-3.nd2:0215-2409,496.164,926.644,404.000,10556.000,655.022
22,33_C09_br223_trka-3.nd2:1275-1869,214.147,2140.241,572.000,8436.000,316.710
23,33_C09_br223_trka-3.nd2:1150-1563,1202.682,1514.167,447.000,19855.000,1597.466
24,33_C09_br223_trka-3.nd2:1861-1941,435.040,997.439,488.000,6301.100,595.298
25,33_C09_br223_trka-3.nd2:0881-3141,443.471,2033.562,436.000,8544.000,572.388
26,33_C09_br223_trka-3.nd2:1575-2524,1023.102,799.386,436.170,2450.210,1444.226
27,33_C09_br223_trka-3.nd2:2334-2216,386.983,1623.315,480.000,25281.000,483.302
28,33_C09_br223_trka-3.nd2:0379-1600,319.535,1510.529,479.000,10922.500,470.530
29,33_C09_br223_trka-3.nd2:2372-2952,617.149,1126.915,498.970,7749.480,887.556
30,33_C09_br223_trka-3.nd2:0662-2988,285.811,1333.766,476.000,5186.000,366.316
31,33_C09_br223_trka-3.nd2:2754-3015,350.730,1139.761,488.340,5950.940,505.680
32,33_C09_br223_trka-3.nd2:0916-0784,300.987,826.133,470.000,4828.000,430.107
33,33_C09_br223_trka-3.nd2:1698-0614,1498.189,785.469,445.000,5503.000,2187.504
34,33_C09_br223_trka-3.nd2:3234-2588,534.525,2314.658,513.000,29521.199,734.893
35,33_C09_br223_trka-3.nd2:1030-0980,620.522,1105.309,450.000,7882.000,842.446
36,33_C09_br223_trka-3.nd2:0303-1693,282.439,1753.073,489.000,11153.080,385.024
37,33_C09_br223_trka-3.nd2:1553-1783,367.592,1445.918,490.780,16087.900,537.596
38,33_C09_br223_trka-3.nd2:0481-2905,263.469,874.752,438.000,4784.000,360.128
39,33_C09_br223_trka-3.nd2:2229-3176,392.885,1411.850,493.820,10241.000,555.626
40,33_C09_br223_trka-3.nd2:2595-3001,325.437,929.942,479.870,7002.918,482.325
41,33_C09_br223_trka-3.nd2:1566-1470,558.132,1489.798,446.000,8022.000,789.235
42,33_C09_br223_trka-3.nd2:0241-2154,389.934,912.791,469.000,9857.000,527.322
43,33_C09_br223_trka-3.nd2:2840-2978,345.671,2741.842,514.600,16270.000,515.329
44,33_C09_br223_trka-3.nd2:0654-2755,414.384,775.562,452.000,5856.691,550.933
45,33_C09_br223_trka-3.nd2:2326-1916,366.327,1852.572,481.020,12929.000,512.834
46,33_C09_br223_trka-3.nd2:0910-2404,650.452,802.135,435.000,3563.000,966.837
47,33_C09_br223_trka-3.nd2:0794-1893,449.372,1054.913,463.920,6361.285,659.983
48,33_C09_br223_trka-3.nd2:2186-1621,221.314,1452.613,509.340,8149.000,304.319
49,33_C09_br223_trka-3.nd2:3320-2948,486.890,1416.780,452.000,7993.000,647.163
50,33_C09_br223_trka-3.nd2:1850-1277,377.287,1014.741,444.000,4813.000,488.592
51,33_C09_br223_trka-3.nd2:2737-2234,288.762,975.671,508.760,2995.000,404.219
52,33_C09_br223_trka-3.nd2:3063-2117,322.907,1881.596,465.000,14512.000,455.561
53,33_C09_br223_trka-3.nd2:2707-1578,234.382,816.609,450.000,1983.439,320.523
54,33_C09_1	33_C09_br223_trka-3.nd2:1893-3345	224.265	1635.380	508.560	13512.847	325.369
2	33_C09_br223_trka-3.nd2:3543-2698	193.491	2537.271	481.800	27180.756	255.204
3	33_C09_br223_trka-3.nd2:3611-2872	200.236	2443.997	0.000	5214.000	297.397
4	33_C09_br223_trka-3.nd2:1778-1901	213.304	1171.990	470.000	5675.000	296.967
5	33_C09_br223_trka-3.nd2:1833-1778	179.159	2759.254	535.000	14946.700	251.592
6	33_C09_br223_trka-3.nd2:0056-2707	109.181	2974.081	485.920	6655.603	153.374
7	33_C09_br223_trka-3.nd2:0141-2850	212.040	1504.061	502.000	6061.480	275.711
8	33_C09_br223_trka-3.nd2:0281-3139	260.096	1708.110	471.000	12669.280	350.548
9	33_C09_br223_trka-3.nd2:0175-3308	336.818	2600.254	0.000	18701.400	465.713
10	33_C09_br223_trka-3.nd2:0106-3285	236.490	2896.400	461.000	13059.308	327.395
11	33_C09_br223_trka-3.nd2:0080-3383	132.367	2330.417	545.000	12900.860	177.340
12	33_C09_br223_trka-3.nd2:0369-3458	147.964	6484.100	477.000	37298.000	208.578
13	33_C09_br223_trka-3.nd2:0527-3191	194.756	2453.591	489.840	13729.475	270.666
14	33_C09_br223_trka-3.nd2:2820-1961	391.620	1144.054	501.000	5946.040	527.001
15	33_C09_br223_trka-3.nd2:2296-3461	151.336	1608.663	458.000	5205.820	217.873
16	33_C09_br223_trka-3.nd2:3063-2928	307.732	1996.880	513.424	12996.000	439.159
17	33_C09_br223_trka-3.nd2:3146-2903	215.834	1610.361	545.930	12971.000	320.100
18	33_C09_br223_trka-3.nd2:3181-2808	174.522	4425.850	555.640	18703.740	245.705
19	33_C09_br223_trka-3.nd2:3238-2946	166.512	1331.883	498.000	11797.251	228.427
20	33_C09_br223_trka-3.nd2:0191-1593	193.913	2137.965	510.000	6592.730	270.996
21	33_C09_br223_trka-3.nd2:0075-3434	128.994	1689.674	521.040	10070.000	167.853
22	33_C09_br223_trka-3.nd2:2798-2781	276.958	1404.198	503.530	9084.291	409.121
23	33_C09_br223_trka-3.nd2:1778-2424	209.932	1726.819	502.000	7366.661	286.900
24	33_C09_br223_trka-3.nd2:0669-3326	257.146	706.438	473.680	5042.505	387.050
25	33_C09_br223_trka-3.nd2:3148-0569	200.658	1434.880	519.160	6218.000	286.554
26	33_C09_br223_trka-3.nd2:3356-0756	255.038	1181.679	0.000	3146.000	373.538
27	33_C09_br223_trka-3.nd2:1037-3264	184.639	2838.194	489.000	36700.066	265.110
28	33_C09_br223_trka-3.nd2:1103-3413	187.168	1251.202	448.180	4618.120	279.117
29	33_C09_br223_trka-3.nd2:0742-1128	220.471	989.194	468.500	2879.200	326.207
30	33_C09_br223_trka-3.nd2:0663-1055	187.168	1175.154	476.600	7956.400	277.870
31	33_C09_br223_trka-3.nd2:0416-1169	244.921	767.892	457.680	5403.000	358.381
32	33_C09_br223_trka-3.nd2:3429-0869	140.376	660.478	459.000	1950.901	212.958
33	33_C09_br223_trka-3.nd2:3271-0519	149.650	1429.931	504.000	4329.000	206.883
34	33_C09_br223_trka-3.nd2:0716-1622	669.000	1649.150	460.000	26786.539	946.917
35	33_C09_br223_trka-3.nd2:2450-2918	174.100	1581.813	495.880	6624.880	263.892
36	33_C09_br223_trka-3.nd2:3058-3389	152.180	2390.172	502.110	7722.880	220.254
r223_trka-3.nd2:3108-1761,440.520,1072.488,490.000,4123.000,602.548
55,33_C09_br223_trka-3.nd2:2880-3035,484.783,1047.441,472.000,4379.698,655.836
1	33_C09_br223_trka-3.nd2:3353-2643	181.688	1951.879	530	7914.353	262.204

1	32_C08_br223_igf1r-2.nd2:0541-0061	177.894	1080.491	459	2750.090	257.154
2	32_C08_br223_igf1r-2.nd2:1854-1649	134.896	4150.467	616.360	16083.000	188.722
3	32_C08_br223_igf1r-2.nd2:1824-1381	149.650	2445.932	564.590	14096.709	226.601
4	32_C08_br223_igf1r-2.nd2:1901-0937	134.053	6093.462	607.780	18308.000	179.413
5	32_C08_br223_igf1r-2.nd2:1750-2287	151.336	936.425	523.000	3950.320	205.214
6	32_C08_br223_igf1r-2.nd2:1614-0624	282.439	885.109	477.000	6009.300	421.292
7	32_C08_br223_igf1r-2.nd2:3256-0712	217.098	1152.591	517.840	13404.600	317.133
8	32_C08_br223_igf1r-2.nd2:3133-1115	163.140	1791.681	536.000	4565.000	230.196
9	32_C08_br223_igf1r-2.nd2:3253-1308	97.800	1372.866	536.000	7842.105	142.211
10	32_C08_br223_igf1r-2.nd2:2653-2249	79.251	912.982	509.000	3221.381	119.440
11	32_C08_br223_igf1r-2.nd2:3239-2266	157.238	1070.330	508.000	3176.930	231.245
12	32_C08_br223_igf1r-2.nd2	84.732	3229.158	658.291	10431.000	114.245
13	32_C08_br223_igf1r-2.nd2:3369-2317	84.732	3229.158	658.291	10431.000	114.245
14	32_C08_br223_igf1r-2.nd2:3424-2430	188.854	2160.221	550.000	11088.889	261.275
