 ,Label,Area,Mean,Min,Max,Length
1,19_B06_actv104_trka-1.nd2:1822-0500,529.467,1555.531,448.000,9244.640,704.079
2,19_B06_actv104_trka-1.nd2:2294-1210,347.357,5200.762,472.980,20847.330,460.091
3,19_B06_actv104_trka-1.nd2:1584-0572,195.178,2688.721,476.000,11926.000,273.068
4,19_B06_actv104_trka-1.nd2:1710-0510,318.692,1105.497,468.320,4754.193,422.425
5,19_B06_actv104_trka-1.nd2:1936-1188,278.223,2855.605,489.730,12156.000,408.059
6,19_B06_actv104_trka-1.nd2:0752-1285,228.059,1631.450,425.000,10405.196,338.896
7,19_B06_actv104_trka-1.nd2:1924-0158,157.660,1314.897,449.950,9615.000,216.594
8,19_B06_actv104_trka-1.nd2:1626-1413,298.879,2580.639,508.190,12300.000,444.120
9,19_B06_actv104_trka-1.nd2:2132-1372,249.558,1694.052,457.000,12447.000,366.716
10,19_B06_actv104_trka-1.nd2:2214-1873,325.015,2068.914,479.100,12188.470,482.123
11,19_B06_actv104_trka-1.nd2:2301-2695,319.113,2849.976,458.000,32215.000,456.603
12,19_B06_actv104_trka-1.nd2:1785-2780,270.214,1808.928,446.000,7908.500,393.896
13,19_B06_actv104_trka-1.nd2:1788-1565,165.669,1458.883,504.120,2737.270,243.668
14,19_B06_actv104_trka-1.nd2:1824-2252,87.682,3634.001,523.450,13107.160,121.270
15,19_B06_actv104_trka-1.nd2:1826-1853,236.490,2833.906,469.000,13124.000,339.743
16,19_B06_actv104_trka-1.nd2:1869-2382,407.639,1625.884,463.000,21991.000,611.451
17,19_B06_actv104_trka-1.nd2:2316-0691,473.822,3235.369,441.000,16448.000,628.881
18,19_B06_actv104_trka-1.nd2:2261-0681,138.690,2065.218,481.000,15867.620,180.764
19,19_B06_actv104_trka-1.nd2:1591-1097,326.280,1807.557,489.940,13671.000,473.364
20,19_B06_actv104_trka-1.nd2:1580-1693,239.440,2317.137,482.560,7236.920,349.619
21,19_B06_actv104_trka-1.nd2:1310-2093,389.091,2743.936,459.360,15307.730,585.496
22,19_B06_actv104_trka-1.nd2:1024-3326,161.032,3100.458,515.120,20400.000,225.330
23,19_B06_actv104_trka-1.nd2:1138-3058,252.930,3243.294,475.913,15825.000,342.229
24,19_B06_actv104_trka-1.nd2:2744-0844,208.246,2155.064,476.000,21156.000,289.298
25,19_B06_actv104_trka-1.nd2:2891-0685,577.945,1137.319,450.000,4106.000,797.827
26,19_B06_actv104_trka-1.nd2:3017-1360,333.868,2546.740,490.460,14144.000,462.098
27,19_B06_actv104_trka-1.nd2:3321-1287,453.166,930.731,450.000,7989.850,623.110
28,19_B06_actv104_trka-1.nd2:2727-3359,343.142,1453.649,443.040,10791.000,429.575
29,19_B06_actv104_trka-1.nd2:3218-3571,246.607,2076.424,490.000,11538.000,359.768
30,19_B06_actv104_trka-1.nd2:3168-2610,233.960,933.986,470.000,3062.000,306.994
31,19_B06_actv104_trka-1.nd2:2695-2777,351.151,2946.390,460.000,12391.000,468.694
32,19_B06_actv104_trka-1.nd2:2930-2172,417.335,4498.369,780.815,9693.031,539.006
33,19_B06_actv104_trka-1.nd2:3573-1194,151.336,1461.078,0.000,5398.430,201.088
34,19_B06_actv104_trka-1.nd2:3533-0639,210.775,1827.591,430.000,15225.020,287.360
35,19_B06_actv104_trka-1.nd2:3521-0145,105.388,997.235,416.000,2351.000,133.311
36,19_B06_actv104_trka-1.nd2:3178-0825,199.393,1154.346,478.900,3218.831,263.564
37,19_B06_actv104_trka-1.nd2:3308-0523,289.605,916.461,467.000,3055.000,376.694
38,19_B06_actv104_trka-1.nd2:3033-1882,105.388,2070.700,520.100,4749.000,137.462
39,19_B06_actv104_trka-1.nd2:2534-3190,432.510,2213.510,475.000,25721.141,561.502
40,19_B06_actv104_trka-1.nd2:0126-2341,418.599,1980.753,464.000,20930.199,615.313
41,19_B06_actv104_trka-1.nd2:0301-2041,138.690,1601.668,468.000,5262.000,195.383
42,19_B06_actv104_trka-1.nd2:0281-2437,115.505,1571.254,502.911,10217.000,159.921
43,19_B06_actv104_trka-1.nd2:0391-2697,319.956,2369.582,457.000,9123.240,445.298
44,19_B06_actv104_trka-1.nd2:0441-3087,217.941,1030.832,487.200,4169.000,307.850
45,19_B06_actv104_trka-1.nd2:0218-3131,360.425,1303.027,474.000,19028.240,475.196
46,19_B06_actv104_trka-1.nd2:0581-0860,400.051,1730.462,472.140,8814.000,544.780
47,19_B06_actv104_trka-1.nd2:0954-0238,207.403,1338.528,463.000,5196.000,312.066
48,19_B06_actv104_trka-1.nd2:1080-0160,134.474,1532.092,456.000,7005.000,185.036
49,19_B06_actv104_trka-1.nd2:1044-3071,417.756,2679.874,460.500,14423.824,582.611
50,19_B06_actv104_trka-1.nd2:1989-0100,94.849,1708.114,488.000,5064.000,134.659
51,19_B06_actv104_trka-1.nd2:2743-0601,88.947,2437.924,491.000,5778.000,117.669
52,19_B06_actv104_trka-1.nd2:2595-2369,182.110,3124.987,489.840,14044.000,255.390
53,19_B06_actv104_trka-1.nd2:2750-1958,432.089,1503.612,461.000,12025.000,626.687
54,19_B06_actv104_trka-1.nd2:2139-3121,442.628,1137.245,459.000,13907.000,620.794
55,19_B06_actv104_trka-1.nd2:0085-1119,311.525,1791.758,457.920,8743.637,445.365
