 ,Label,Area,Mean,Min,Max,Length
1,32_C08_br223_igf1r-1.nd2:0420-0266,212.461,2010.118,488.000,9039.920,274.214
2,32_C08_br223_igf1r-1.nd2:0584-0542,305.624,4372.302,488.000,15753.500,383.579
3,32_C08_br223_igf1r-1.nd2:1074-0980,213.726,3771.136,505.800,13604.230,277.707
4,32_C08_br223_igf1r-1.nd2:0140-1486,264.312,3648.260,462.600,13640.739,376.839
5,32_C08_br223_igf1r-1.nd2:0050-1430,69.556,3190.048,0.000,8314.280,93.967
6,32_C08_br223_igf1r-1.nd2:0304-1250,209.932,2591.179,476.280,15181.230,283.660
7,32_C08_br223_igf1r-1.nd2:0396-1524,233.117,1438.668,435.000,7103.800,344.492
8,32_C08_br223_igf1r-1.nd2:0894-2430,145.013,3541.355,516.000,14340.080,185.735
9,32_C08_br223_igf1r-1.nd2:1038-0144,235.646,1663.957,471.000,5287.540,348.071
10,32_C08_br223_igf1r-1.nd2:1064-0366,233.960,1558.256,462.000,7001.400,324.379
11,32_C08_br223_igf1r-1.nd2:1322-0958,200.658,2700.845,534.390,8625.500,280.702
12,32_C08_br223_igf1r-1.nd2:0710-1268,353.680,4048.240,471.000,33973.762,441.075
13,32_C08_br223_igf1r-1.nd2:1526-2326,244.921,2993.399,464.000,10821.000,313.532
14,32_C08_br223_igf1r-1.nd2:1163-2002,391.620,3383.114,451.000,28009.000,525.421
15,32_C08_br223_igf1r-1.nd2:2098-0581,111.289,856.343,486.000,4523.000,159.527
16,32_C08_br223_igf1r-1.nd2:2427-0604,196.442,2179.661,465.000,13522.300,282.633
17,32_C08_br223_igf1r-1.nd2:1759-0877,100.750,2857.694,574.860,11559.238,142.377
18,32_C08_br223_igf1r-1.nd2:1412-0772,97.378,6319.814,522.000,27869.500,133.796
19,32_C08_br223_igf1r-1.nd2:1676-0389,248.293,1343.996,474.000,8250.000,342.826
20,32_C08_br223_igf1r-1.nd2:1798-0511,210.353,1206.375,470.000,9946.360,297.121
21,32_C08_br223_igf1r-1.nd2:0371-0701,85.996,5251.541,480.870,19847.020,122.518
22,32_C08_br223_igf1r-1.nd2:0822-1090,341.877,1635.888,465.000,10800.000,430.298
23,32_C08_br223_igf1r-1.nd2:0872-0091,161.032,1013.447,450.160,3221.000,202.429
24,32_C08_br223_igf1r-1.nd2:1894-0118,197.285,1234.914,426.000,3473.000,277.591
25,32_C08_br223_igf1r-1.nd2:0634-1024,249.136,2978.713,461.600,16770.400,319.360
26,32_C08_br223_igf1r-1.nd2:1422-1274,187.590,6118.946,516.000,19660.000,243.110
27,32_C08_br223_igf1r-1.nd2:2460-0437,263.890,2464.370,483.000,8747.200,390.102
28,32_C08_br223_igf1r-1.nd2:1818-0334,183.796,1223.824,439.000,10740.000,270.302
29,32_C08_br223_igf1r-1.nd2:1715-0318,318.692,1538.989,456.000,10972.160,440.575
30,32_C08_br223_igf1r-1.nd2:1158-0121,187.590,2058.826,445.784,13723.000,254.337
31,32_C08_br223_igf1r-1.nd2:0951-0624,106.231,1443.371,460.000,11093.253,141.092
32,32_C08_br223_igf1r-1.nd2:0784-0146,188.854,879.452,449.371,4869.000,247.018
