 ,Label,Area,Mean,Min,Max,Length
1,21_B04_br223_egfrc-1.nd2:0879-1999,317.919,1692.196,445.000,9773.880,426.435
2,21_B04_br223_egfrc-1.nd2:0299-1436,148.419,3157.058,481.000,14188.000,209.693
3,21_B04_br223_egfrc-1.nd2:0378-2109,411.103,1494.387,498.000,6166.600,515.706
4,21_B04_br223_egfrc-1.nd2:0614-1804,237.385,3714.160,569.000,11791.000,301.792
5,21_B04_br223_egfrc-1.nd2:0328-0250,225.579,2544.499,475.000,12858.000,330.311
6,21_B04_br223_egfrc-1.nd2:0098-0110,103.724,2416.845,548.000,9097.000,143.628
7,21_B04_br223_egfrc-1.nd2:0023-0939,153.057,2300.633,495.040,8111.000,225.238
8,21_B04_br223_egfrc-1.nd2:0160-2234,198.173,1499.038,470.000,14835.000,271.093
9,21_B04_br223_egfrc-1.nd2:0301-1979,108.362,4559.798,530.000,17811.000,151.277
10,21_B04_br223_egfrc-1.nd2:0118-3313,129.445,2494.080,656.000,6139.000,164.289
11,21_B04_br223_egfrc-1.nd2:0935-1240,115.530,3906.600,599.000,19741.961,149.089
12,21_B04_br223_egfrc-1.nd2:1010-1560,126.493,2106.128,614.000,5219.000,158.209
13,21_B04_br223_egfrc-1.nd2:1084-1538,144.624,1047.356,492.000,5040.000,204.985
14,21_B04_br223_egfrc-1.nd2:1110-1250,110.471,1787.023,501.000,5555.000,137.364
15,21_B04_br223_egfrc-1.nd2:1130-0256,209.979,3404.676,442.000,18706.000,306.720
16,21_B04_br223_egfrc-1.nd2:1157-0173,147.154,927.565,457.000,2939.000,217.132
17,21_B04_br223_egfrc-1.nd2:0488-0328,109.627,1151.508,501.000,4573.000,147.124
18,21_B04_br223_egfrc-1.nd2:0091-1771,118.060,3663.468,521.160,16813.000,172.903
19,21_B04_br223_egfrc-1.nd2:0096-1601,136.191,1195.537,459.000,4252.000,189.581
20,21_B04_br223_egfrc-1.nd2:0017-1931,162.754,2261.287,510.000,9166.000,240.354
21,21_B04_br223_egfrc-1.nd2:0194-3154,184.258,3352.602,535.000,12658.000,235.343
22,21_B04_br223_egfrc-1.nd2:0349-2921,161.068,2100.152,511.000,11249.000,206.631
23,21_B04_br223_egfrc-1.nd2:1084-0558,177.512,2203.326,499.000,11061.000,232.481
24,21_B04_br223_egfrc-1.nd2:0168-0253,232.747,2309.828,505.120,7850.870,338.318
25,21_B04_br223_egfrc-1.nd2:0218-0521,161.068,2165.628,524.000,13907.000,239.288
26,21_B04_br223_egfrc-1.nd2:0260-0233,198.173,1709.524,513.000,6123.000,283.472
27,21_B04_br223_egfrc-1.nd2:0374-0459,98.243,1747.058,506.280,6114.000,143.352
28,21_B04_br223_egfrc-1.nd2:0266-0499,204.919,2419.917,480.000,9697.510,283.209
29,21_B04_br223_egfrc-1.nd2:0264-3331,287.139,1139.624,456.000,10001.000,373.168
30,21_B04_br223_egfrc-1.nd2:1480-0681,137.456,1289.245,502.000,4228.780,171.957
31,21_B04_br223_egfrc-1.nd2:0920-2361,105.411,972.086,462.000,3314.000,130.969
32,21_B04_br223_egfrc-1.nd2:1195-0950,217.146,984.038,500.050,2668.000,291.182
33,21_B04_br223_egfrc-1.nd2:1478-1025,283.345,994.311,501.000,6052.960,359.796
34,21_B04_br223_egfrc-1.nd2:1620-0752,169.922,1383.627,488.820,7810.720,254.140
35,21_B04_br223_egfrc-1.nd2:1552-0501,401.405,1054.053,472.160,3165.700,526.847
36,21_B04_br223_egfrc-1.nd2:1337-3466,129.866,3989.777,507.000,14868.923,168.032
37,21_B04_br223_egfrc-1.nd2:1828-3601,110.892,1735.192,494.000,4435.000,150.853
38,21_B04_br223_egfrc-1.nd2:1764-3524,184.680,1200.987,502.000,4739.000,226.559
39,21_B04_br223_egfrc-1.nd2:2407-0290,172.452,2148.786,503.000,6748.000,232.069
40,21_B04_br223_egfrc-1.nd2:2229-0895,125.228,2806.806,520.000,7904.000,168.821
41,21_B04_br223_egfrc-1.nd2:3108-2630,250.456,3561.694,571.320,11393.000,341.462
42,21_B04_br223_egfrc-1.nd2:2189-3484,244.975,1234.227,471.000,5116.840,311.125
43,21_B04_br223_egfrc-1.nd2:3078-0413,173.717,2900.916,490.000,11748.000,211.670
44,21_B04_br223_egfrc-1.nd2:1540-2728,175.404,890.537,495.760,3184.000,217.807
45,21_B04_br223_egfrc-1.nd2:1624-2958,125.228,1932.252,530.000,3967.380,151.314
46,21_B04_br223_egfrc-1.nd2:2292-3007,120.168,3913.190,523.000,12541.000,147.018
47,21_B04_br223_egfrc-1.nd2:3456-0546,208.292,1334.858,445.000,5318.620,269.886
48,21_B04_br223_egfrc-1.nd2:3221-1102,230.217,2391.678,546.000,8581.000,308.113
49,21_B04_br223_egfrc-1.nd2:3461-0896,129.445,1758.850,496.000,5937.000,178.963
50,21_B04_br223_egfrc-1.nd2:1435-2522,321.292,1748.347,477.000,9867.000,395.400
51,21_B04_br223_egfrc-1.nd2:3474-1473,218.411,1479.802,453.000,7400.000,274.380
52,21_B04_br223_egfrc-1.nd2:3203-1563,204.919,1947.644,479.000,8012.000,273.497
53,21_B04_br223_egfrc-1.nd2:2667-2658,203.654,2228.160,476.000,13237.000,264.304
54,21_B04_br223_egfrc-1.nd2:1896-0612,381.588,928.676,489.000,3914.000,534.542
55,21_B04_br223_egfrc-1.nd2:2883-0074,72.101,4929.423,487.000,16105.642,93.614
56,21_B04_br223_egfrc-1.nd2:3423-0033,49.332,2521.801,542.610,6412.000,65.251
