 ,Label,Area,Mean,Min,Max,Length
1,17_B08_BMPR2_HER2mb-1.nd2:0654-0332,156.008,3102.300,501.000,19931.000,201.894
2,17_B08_BMPR2_HER2mb-1.nd2:0650-0226,79.269,1111.945,612.000,2080.532,102.805
3,17_B08_BMPR2_HER2mb-1.nd2:0658-0146,106.254,1037.602,571.000,2237.400,137.082
4,17_B08_BMPR2_HER2mb-1.nd2:0392-0434,152.213,1174.727,514.000,5864.000,214.866
5,17_B08_BMPR2_HER2mb-1.nd2:0340-0306,94.027,1365.267,496.000,6137.844,120.842
6,17_B08_BMPR2_HER2mb-1.nd2:0374-0218,118.482,1637.714,491.000,3658.660,153.456
7,17_B08_BMPR2_HER2mb-1.nd2:0496-0286,113.001,1445.967,460.800,4629.665,150.254
8,17_B08_BMPR2_HER2mb-1.nd2:0466-0334,36.261,2548.074,737.280,6668.480,51.109
9,17_B08_BMPR2_HER2mb-1.nd2:0564-0310,99.508,1330.144,515.000,6379.000,125.500
10,17_B08_BMPR2_HER2mb-1.nd2:0054-0348,64.511,1286.746,498.590,8769.560,83.418
11,17_B08_BMPR2_HER2mb-1.nd2:0056-0242,41.743,1683.949,647.000,2662.000,51.657
12,17_B08_BMPR2_HER2mb-1.nd2:0478-0684,158.538,2484.449,488.000,18262.000,195.664
13,17_B08_BMPR2_HER2mb-1.nd2:0084-0866,163.598,1440.122,459.000,8409.000,206.568
14,17_B08_BMPR2_HER2mb-1.nd2:1042-0220,251.721,1104.225,487.000,9974.040,329.139
15,17_B08_BMPR2_HER2mb-1.nd2:1134-0114,113.422,2283.345,475.000,5931.000,149.210
16,17_B08_BMPR2_HER2mb-1.nd2:0840-0690,151.792,1555.384,487.000,6059.000,190.144
17,17_B08_BMPR2_HER2mb-1.nd2:0730-0062,117.639,1040.390,454.000,4148.000,151.734
18,17_B08_BMPR2_HER2mb-1.nd2:0786-0176,47.646,1438.704,494.620,3498.000,63.882
19,17_B08_BMPR2_HER2mb-1.nd2:0238-1086,106.254,1335.768,525.000,3517.167,140.508
20,17_B08_BMPR2_HER2mb-1.nd2:0276-1056,103.303,1101.917,466.000,2719.000,149.831
21,17_B08_BMPR2_HER2mb-1.nd2:0248-1242,179.620,1084.947,486.540,3607.000,249.143
22,17_B08_BMPR2_HER2mb-1.nd2:0228-1372,178.355,1848.056,496.400,15890.000,271.642
23,17_B08_BMPR2_HER2mb-1.nd2:0066-1440,54.814,4361.700,544.140,11611.000,77.585
24,17_B08_BMPR2_HER2mb-1.nd2:0254-1450,96.135,2389.664,526.000,5383.000,136.937
25,17_B08_BMPR2_HER2mb-1.nd2:0128-1512,117.639,968.162,462.000,1926.460,159.585
26,17_B08_BMPR2_HER2mb-1.nd2:0502-0470,95.291,1288.360,492.000,5211.000,118.825
27,17_B08_BMPR2_HER2mb-1.nd2:1058-0788,146.732,2138.790,503.800,8621.812,184.374
28,17_B08_BMPR2_HER2mb-1.nd2:1124-0824,74.209,4712.850,472.000,16202.940,95.003
29,17_B08_BMPR2_HER2mb-1.nd2:0232-1614,234.012,2689.384,521.760,12278.400,316.084
30,17_B08_BMPR2_HER2mb-1.nd2:0410-1466,230.217,1851.994,554.000,10333.000,298.074
31,17_B08_BMPR2_HER2mb-1.nd2:1104-0522,118.904,2227.712,505.000,16405.039,158.309
32,17_B08_BMPR2_HER2mb-1.nd2:1282-0798,331.412,2456.752,510.000,10349.000,450.558
33,17_B08_BMPR2_HER2mb-1.nd2:1286-0860,90.232,2004.627,518.820,4669.110,110.500
34,17_B08_BMPR2_HER2mb-1.nd2:1318-0518,139.986,3212.010,547.000,13059.000,179.290
35,17_B08_BMPR2_HER2mb-1.nd2:1320-0326,122.698,3342.767,503.000,11703.000,155.285
36,17_B08_BMPR2_HER2mb-1.nd2:1396-0576,314.968,1032.947,465.000,6436.920,407.965
37,17_B08_BMPR2_HER2mb-1.nd2:1138-1252,143.359,948.263,477.000,2084.300,196.818
