 ,Label,Area,Mean,Min,Max,Length
1,56_E08_br223_egfrc-1.nd2:0117-0335,135.769,4533.062,0.000,15401.000,176.000
2,56_E08_br223_egfrc-1.nd2:0348-0401,123.963,3484.735,656.000,8429.440,153.595
3,56_E08_br223_egfrc-1.nd2:0088-0701,104.568,3210.101,0.000,10477.580,137.142
4,56_E08_br223_egfrc-1.nd2:0274-1159,104.146,4441.752,489.000,12658.000,131.074
5,56_E08_br223_egfrc-1.nd2:0609-1095,230.217,2278.861,480.570,11543.000,319.474
6,56_E08_br223_egfrc-1.nd2:0909-0757,169.922,2491.929,496.000,13574.000,207.562
7,56_E08_br223_egfrc-1.nd2:0834-0677,114.265,1668.310,691.200,6214.000,141.019
8,56_E08_br223_egfrc-1.nd2:0895-0985,180.885,3067.731,501.000,13894.000,256.620
9,56_E08_br223_egfrc-1.nd2:1052-0050,97.400,2194.265,435.380,14826.000,124.137
10,56_E08_br223_egfrc-1.nd2:1142-0138,223.471,2982.623,457.000,19787.320,278.375
11,56_E08_br223_egfrc-1.nd2:0411-0143,97.821,1905.105,639.000,4086.470,143.316
12,56_E08_br223_egfrc-1.nd2:0409-0175,72.101,1330.356,502.000,3307.760,97.446
13,56_E08_br223_egfrc-1.nd2:0343-0081,44.694,3403.135,697.000,7462.800,61.561
14,56_E08_br223_egfrc-1.nd2:0340-0041,38.370,2309.996,574.000,5558.000,52.001
15,56_E08_br223_egfrc-1.nd2:0146-0461,89.388,707.999,443.000,1278.000,121.058
16,56_E08_br223_egfrc-1.nd2:0732-0074,63.247,1245.772,436.000,3483.670,87.698
17,56_E08_br223_egfrc-1.nd2:0032-1125,53.549,1809.445,461.000,12195.000,71.463
18,56_E08_br223_egfrc-1.nd2:0046-1240,61.560,2103.041,508.320,4343.000,78.407
19,56_E08_br223_egfrc-1.nd2:0617-1999,172.452,6155.210,494.280,20774.359,225.291
20,56_E08_br223_egfrc-1.nd2:1265-1150,112.579,3915.644,905.000,13566.050,165.204
21,56_E08_br223_egfrc-1.nd2:1743-0737,172.874,1493.774,489.000,5005.000,213.038
22,56_E08_br223_egfrc-1.nd2:1440-1613,141.251,1841.657,532.000,5798.000,190.582
23,56_E08_br223_egfrc-1.nd2:1440-0150,120.590,1303.257,476.000,3291.340,159.918
24,56_E08_br223_egfrc-1.nd2:1630-0108,93.183,3753.723,520.220,14954.382,128.418
25,56_E08_br223_egfrc-1.nd2:1578-0211,219.676,1621.166,446.580,6509.000,285.930
26,56_E08_br223_egfrc-1.nd2:0950-1666,102.881,3346.693,437.000,13920.040,146.656
27,56_E08_br223_egfrc-1.nd2:1018-1866,281.658,3408.940,469.000,21435.000,358.227
28,56_E08_br223_egfrc-1.nd2:1050-0261,65.776,1621.179,547.670,3864.000,80.226
29,56_E08_br223_egfrc-1.nd2:1147-1037,85.594,3296.952,573.000,8517.545,118.691
30,56_E08_br223_egfrc-1.nd2:1175-0994,182.572,1359.276,501.000,6056.000,242.620
31,56_E08_br223_egfrc-1.nd2:1418-0706,104.146,1681.054,547.500,5207.200,141.884
32,56_E08_br223_egfrc-1.nd2:1713-0186,184.258,1690.045,445.000,7838.480,256.086
33,56_E08_br223_egfrc-1.nd2:1751-0095,71.258,2447.395,479.180,8883.000,97.746
34,56_E08_br223_egfrc-1.nd2:0589-2041,89.388,1683.923,476.000,6985.280,117.618
35,56_E08_br223_egfrc-1.nd2:1796-0889,203.654,1728.156,507.000,8024.870,259.652
36,56_E08_br223_egfrc-1.nd2:1042-1527,95.291,1606.688,559.000,5641.570,128.128
37,56_E08_br223_egfrc-1.nd2:1863-0850,94.448,1437.076,500.200,7722.000,118.258
38,56_E08_br223_egfrc-1.nd2:1793-0970,195.221,3822.389,501.000,11655.000,258.686
39,56_E08_br223_egfrc-1.nd2:2129-0991,105.411,1576.186,492.000,9350.000,132.895
40,56_E08_br223_egfrc-1.nd2:2008-0944,80.112,1692.313,477.000,10165.500,109.960
41,56_E08_br223_egfrc-1.nd2:2282-0874,88.967,1431.538,470.000,6952.000,125.198
42,56_E08_br223_egfrc-1.nd2:2341-0817,68.306,2179.580,566.000,5530.000,93.204
43,56_E08_br223_egfrc-1.nd2:2339-0727,164.863,4471.425,472.000,35399.000,228.737
44,56_E08_br223_egfrc-1.nd2:1726-1430,94.448,1656.190,509.080,8795.000,125.867
45,56_E08_br223_egfrc-1.nd2:1603-1573,76.739,1286.789,501.000,3112.060,96.264
46,56_E08_br223_egfrc-1.nd2:0781-1565,67.463,4900.136,524.000,25091.000,85.289
47,56_E08_br223_egfrc-1.nd2:2354-1187,103.303,1570.035,525.000,4498.484,136.537
48,56_E08_br223_egfrc-1.nd2:2229-1329,139.142,8020.426,514.660,22666.869,176.057
