 ,Label,Area,Mean,Min,Max,Length
1,58_E10_br223_igf1r-1.nd2:0408-0240,144.202,2564.757,520.994,14942.000,190.414
2,58_E10_br223_igf1r-1.nd2:0804-0358,235.277,2180.478,426.000,11527.070,302.896
3,58_E10_br223_igf1r-1.nd2:0078-0168,64.511,1040.395,461.000,2525.140,87.827
4,58_E10_br223_igf1r-1.nd2:0040-0432,53.127,1894.419,603.000,5225.459,65.973
5,58_E10_br223_igf1r-1.nd2:0046-0392,96.978,799.688,475.400,2402.111,136.791
6,58_E10_br223_igf1r-1.nd2:0140-0634,212.508,848.520,483.670,2976.940,307.626
7,58_E10_br223_igf1r-1.nd2:0148-0770,93.183,890.819,466.000,2237.880,128.456
8,58_E10_br223_igf1r-1.nd2:0048-1046,95.713,1682.983,556.000,5786.000,120.800
9,58_E10_br223_igf1r-1.nd2:0370-0512,72.101,848.465,525.301,1757.000,96.471
10,58_E10_br223_igf1r-1.nd2:0302-0728,67.463,1008.586,539.440,2048.000,86.888
11,58_E10_br223_igf1r-1.nd2:0240-0804,85.594,1071.927,460.000,2969.060,116.759
12,58_E10_br223_igf1r-1.nd2:0708-0114,70.836,848.859,470.000,1586.868,92.906
13,58_E10_br223_igf1r-1.nd2:0812-0128,54.814,1368.348,542.000,2619.625,69.542
14,58_E10_br223_igf1r-1.nd2:0840-0052,37.948,688.146,502.000,1173.000,46.246
15,58_E10_br223_igf1r-1.nd2:0890-0556,139.142,2680.537,523.000,7300.000,182.730
16,58_E10_br223_igf1r-1.nd2:0966-0630,259.311,1180.236,464.000,5446.740,339.284
17,58_E10_br223_igf1r-1.nd2:1046-0852,62.825,1593.649,537.000,4043.120,85.115
18,58_E10_br223_igf1r-1.nd2:1244-0928,96.135,951.185,502.486,2374.700,133.675
19,58_E10_br223_igf1r-1.nd2:0208-1124,153.057,1246.320,519.000,14091.990,213.968
20,58_E10_br223_igf1r-1.nd2:0214-1240,175.404,798.389,505.960,1684.420,250.410
21,58_E10_br223_igf1r-1.nd2,123.120,795.887,499.220,1933.000,177.752
22,58_E10_br223_igf1r-1.nd2:0242-1016,123.120,795.887,499.220,1933.000,177.752
23,58_E10_br223_igf1r-1.nd2:0312-0940,163.176,3860.515,468.320,20648.711,233.111
24,58_E10_br223_igf1r-1.nd2:0528-0956,231.904,2033.461,501.000,10525.000,311.058
25,58_E10_br223_igf1r-1.nd2:0628-1382,161.911,2873.365,413.540,14513.000,220.248
26,58_E10_br223_igf1r-1.nd2:0068-1380,56.079,2635.165,645.140,5422.610,70.765
27,58_E10_br223_igf1r-1.nd2:0240-1640,73.788,1504.951,642.940,6887.996,101.234
28,58_E10_br223_igf1r-1.nd2:0236-1690,99.508,1123.014,505.000,2982.350,135.463
29,58_E10_br223_igf1r-1.nd2:0246-1278,190.583,934.897,478.000,6062.000,245.726
30,58_E10_br223_igf1r-1.nd2:0344-1148,102.459,1104.332,473.720,8926.000,128.244
31,58_E10_br223_igf1r-1.nd2:0282-1284,201.967,1927.743,491.000,9221.540,271.400
32,58_E10_br223_igf1r-1.nd2:0698-1116,167.814,1164.351,467.000,3400.000,207.923
33,58_E10_br223_igf1r-1.nd2:0742-1194,62.825,1849.113,546.000,5390.980,80.119
34,58_E10_br223_igf1r-1.nd2:0714-1078,178.777,1304.950,471.000,10373.540,229.062
35,58_E10_br223_igf1r-1.nd2:0678-0922,322.136,1369.883,463.000,12521.100,426.358
36,58_E10_br223_igf1r-1.nd2:1068-1110,201.546,1003.167,484.320,3254.100,268.373
37,58_E10_br223_igf1r-1.nd2:0610-1760,163.598,778.318,459.000,2695.000,214.101
38,58_E10_br223_igf1r-1.nd2:0574-1712,101.616,1372.232,497.740,5664.340,126.631
39,58_E10_br223_igf1r-1.nd2:0394-2256,91.918,1239.916,470.360,3273.000,115.155
40,58_E10_br223_igf1r-1.nd2:0554-2072,146.310,2662.400,445.000,17652.920,181.696
41,58_E10_br223_igf1r-1.nd2:0744-1350,122.698,1438.996,467.190,6604.029,155.498
42,58_E10_br223_igf1r-1.nd2:0880-2000,65.776,640.470,461.150,1707.207,88.782
43,58_E10_br223_igf1r-1.nd2:1302-1442,171.187,2751.150,456.000,9402.000,219.419
44,58_E10_br223_igf1r-1.nd2:1272-1494,110.471,885.556,501.000,1403.000,142.620
45,58_E10_br223_igf1r-1.nd2:1602-1478,98.665,1262.056,482.000,4336.000,127.570
46,58_E10_br223_igf1r-1.nd2:1306-1818,78.426,1527.594,622.140,3636.650,104.653
47,58_E10_br223_igf1r-1.nd2:1420-2008,163.176,2098.411,507.000,13449.640,213.129
48,58_E10_br223_igf1r-1.nd2:0942-2368,127.336,1191.147,455.000,7807.060,166.810
49,58_E10_br223_igf1r-1.nd2:1458-1044,171.609,1345.800,481.570,4802.860,237.370
50,58_E10_br223_igf1r-1.nd2:1770-1134,179.199,1687.916,487.280,10429.640,235.266
51,58_E10_br223_igf1r-1.nd2:1862-1178,115.109,3122.620,480.000,18131.900,152.804
52,58_E10_br223_igf1r-1.nd2:1090-0294,157.273,1094.337,468.280,4180.292,204.906
53,58_E10_br223_igf1r-1.nd2:1062-0212,99.086,663.759,495.860,1103.634,131.472
54,58_E10_br223_igf1r-1.nd2:1248-0332,203.232,654.901,445.000,1292.000,268.013
55,58_E10_br223_igf1r-1.nd2:0644-0130,36.683,1204.934,552.867,2377.713,54.429
56,58_E10_br223_igf1r-1.nd2:1902-0064,106.676,1040.013,560.286,1857.705,142.620
57,58_E10_br223_igf1r-1.nd2:0124-1568,67.041,1608.165,478.000,7712.024,87.502
58,58_E10_br223_igf1r-1.nd2:0160-1648,86.859,3009.086,547.440,10384.000,114.687
59,58_E10_br223_igf1r-1.nd2:1298-2686,92.762,2615.135,566.640,5480.000,122.281
60,58_E10_br223_igf1r-1.nd2:1216-2916,216.303,1778.437,488.150,12550.664,272.917
61,58_E10_br223_igf1r-1.nd2:0908-3064,155.165,1336.929,494.480,7687.000,193.782
62,58_E10_br223_igf1r-1.nd2:0902-3024,144.202,1383.901,518.000,6037.840,181.149
63,58_E10_br223_igf1r-1.nd2:0710-3182,95.713,1718.144,510.430,7041.880,142.408
64,58_E10_br223_igf1r-1.nd2:0436-1168,45.959,1035.417,591.000,1816.100,68.796
65,58_E10_br223_igf1r-1.nd2:0456-1348,50.597,1096.350,555.000,2387.000,74.296
66,58_E10_br223_igf1r-1.nd2:1808-1362,80.534,3380.211,496.000,6748.000,106.205
67,58_E10_br223_igf1r-1.nd2:1766-1448,169.922,1210.225,429.550,11808.480,227.763
68,58_E10_br223_igf1r-1.nd2:1926-0444,161.911,1015.776,492.000,5085.000,223.085
69,58_E10_br223_igf1r-1.nd2:0212-3052,150.527,1385.515,486.000,5685.000,193.973
70,58_E10_br223_igf1r-1.nd2:0150-3398,225.579,707.201,464.200,1519.000,306.929
71,58_E10_br223_igf1r-1.nd2:0304-3322,185.102,967.266,490.000,3710.000,242.334
72,58_E10_br223_igf1r-1.nd2:0126-3250,56.500,686.004,482.922,1240.440,80.405
73,58_E10_br223_igf1r-1.nd2:0244-3100,68.728,1054.317,504.000,3858.250,89.294
74,58_E10_br223_igf1r-1.nd2:0394-3546,110.049,1823.510,519.000,6859.000,157.150
75,58_E10_br223_igf1r-1.nd2:0400-3536,77.582,1170.194,519.950,3290.600,107.811
76,58_E10_br223_igf1r-1.nd2:0252-2858,143.780,829.130,512.000,2225.120,186.080
77,58_E10_br223_igf1r-1.nd2:0336-2894,98.243,1062.029,490.000,5910.740,126.542
78,58_E10_br223_igf1r-1.nd2:0534-2934,120.590,1299.150,475.000,6442.000,153.128
79,58_E10_br223_igf1r-1.nd2:0592-2912,84.329,866.197,489.000,1744.790,104.037
80,58_E10_br223_igf1r-1.nd2:0618-2904,56.500,1098.063,522.000,2846.936,73.632
