 ,Label,Area,Mean,Min,Max,Length
1,23_B02_ctrl-3.nd2:0058-0236,55.350,2301.075,517.000,7959.485,77.027
2,23_B02_ctrl-3.nd2:0238-0283,330.412,2305.083,468.000,14887.780,426.777
3,23_B02_ctrl-3.nd2:0056-0556,261.963,1505.541,475.000,7765.000,375.337
4,23_B02_ctrl-3.nd2:0080-0850,155.065,4485.357,528.900,12465.000,205.372
5,23_B02_ctrl-3.nd2:0098-0980,87.462,1890.613,522.000,4014.000,121.319
6,23_B02_ctrl-3.nd2:0068-1133,70.139,3031.062,486.000,10990.000,93.071
7,23_B02_ctrl-3.nd2:0126-1335,120.841,2478.200,490.000,7255.000,168.084
8,23_B02_ctrl-3.nd2:0115-1259,237.880,3322.115,507.500,18202.820,312.460
9,23_B02_ctrl-3.nd2:0229-1931,169.854,1662.578,472.330,5507.000,227.146
10,23_B02_ctrl-3.nd2:0161-2011,313.934,2405.551,625.000,9491.000,403.408
11,23_B02_ctrl-3.nd2:0251-2522,216.754,3546.398,504.000,18619.000,281.702
12,23_B02_ctrl-3.nd2:0125-3150,134.362,1705.122,495.000,10119.150,175.990
13,23_B02_ctrl-3.nd2:0105-3543,98.870,2062.777,517.000,7237.420,135.996
14,23_B02_ctrl-3.nd2:0330-2850,212.528,2388.612,458.000,12994.010,273.003
15,23_B02_ctrl-3.nd2:0086-1943,76.054,1992.929,662.000,5281.460,110.341
16,23_B02_ctrl-3.nd2:0190-1813,64.223,3333.550,548.840,11005.840,83.960
17,23_B02_ctrl-3.nd2:0514-0819,215.909,3496.919,534.869,16977.000,286.252
18,23_B02_ctrl-3.nd2:0544-0727,235.345,2510.124,485.000,11532.920,320.440
19,23_B02_ctrl-3.nd2:0547-1233,311.398,2157.192,506.000,10402.170,411.778
20,23_B02_ctrl-3.nd2:0607-1107,184.219,2738.625,512.000,8350.690,256.047
21,23_B02_ctrl-3.nd2:0571-0867,110.278,1018.242,585.000,2537.320,157.075
22,23_B02_ctrl-3.nd2:0707-0727,349.425,1666.218,502.460,5970.860,449.926
23,23_B02_ctrl-3.nd2:0782-0476,227.739,1484.489,471.000,6290.000,322.717
24,23_B02_ctrl-3.nd2:0787-0561,403.508,1004.914,458.000,5468.390,557.638
25,23_B02_ctrl-3.nd2:0433-1405,37.182,4377.616,469.000,18075.000,49.666
26,23_B02_ctrl-3.nd2:0484-1668,163.938,1449.016,515.400,11634.555,213.356
27,23_B02_ctrl-3.nd2:0614-1328,226.049,1550.881,506.000,8056.800,316.489
28,23_B02_ctrl-3.nd2:0736-0964,55.350,2216.769,814.740,6382.000,81.448
29,23_B02_ctrl-3.nd2:0719-1172,319.849,2098.514,492.000,8758.000,412.812
30,23_B02_ctrl-3.nd2:0859-0751,281.399,2730.880,491.700,9466.000,367.056
31,23_B02_ctrl-3.nd2:0671-0057,54.505,5373.791,0.000,11760.280,79.522
32,23_B02_ctrl-3.nd2:0902-0106,96.757,887.341,452.000,3046.000,127.851
33,23_B02_ctrl-3.nd2:0975-0108,80.702,2080.970,506.000,8908.000,112.476
34,23_B02_ctrl-3.nd2,174.079,923.096,487.200,4313.000,242.420
35,23_B02_ctrl-3.nd2:0804-1127,174.079,923.096,487.200,4313.000,242.420
36,23_B02_ctrl-3.nd2:1057-0191,158.023,2197.831,483.000,10714.000,213.357
37,23_B02_ctrl-3.nd2:1020-0376,283.935,2187.254,490.000,10538.920,388.235
38,23_B02_ctrl-3.nd2:1142-0373,212.951,2558.062,494.360,9846.000,290.110
39,23_B02_ctrl-3.nd2:1245-0246,258.161,1200.512,475.000,7352.490,330.410
40,23_B02_ctrl-3.nd2:1366-0096,62.533,3072.268,488.400,14176.207,85.626
41,23_B02_ctrl-3.nd2:1450-0110,63.801,4692.724,500.300,11523.000,87.049
42,23_B02_ctrl-3.nd2:1411-0268,258.161,2376.296,481.000,13469.000,325.977
43,23_B02_ctrl-3.nd2:1168-0677,104.785,7802.859,582.000,17554.000,146.526
44,23_B02_ctrl-3.nd2:1088-0849,98.870,1917.504,531.000,5670.000,118.858
45,23_B02_ctrl-3.nd2:1566-0576,163.516,4802.966,606.000,18454.580,210.303
46,23_B02_ctrl-3.nd2:1700-0491,106.898,1733.959,488.000,6054.670,135.571
47,23_B02_ctrl-3.nd2:1528-0593,323.229,1410.504,491.000,6553.100,422.029
48,23_B02_ctrl-3.nd2:0711-1550,162.671,1600.285,510.980,9096.000,216.395
49,23_B02_ctrl-3.nd2:0886-1207,226.894,1617.222,500.000,7430.000,295.010
50,23_B02_ctrl-3.nd2:0711-1565,331.679,3228.591,498.000,12680.552,457.822
51,23_B02_ctrl-3.nd2:0654-1941,180.417,1675.725,472.000,11033.080,232.264
52,23_B02_ctrl-3.nd2:1215-0802,108.588,3224.441,480.000,11443.000,152.461
53,23_B02_ctrl-3.nd2:1446-0935,430.972,1392.487,489.000,12004.175,560.001
54,23_B02_ctrl-3.nd2:0862-1591,65.913,3516.531,541.000,6925.000,87.447
55,23_B02_ctrl-3.nd2:0972-1162,69.294,2566.279,537.020,7657.546,91.350
56,23_B02_ctrl-3.nd2:0934-0970,51.970,1544.490,543.000,3611.128,68.458
