 ,Label,Area,Mean,Min,Max,Length
1,26_C02_fgfr_act104-1.nd2:0061-0170,55.773,3511.634,507.000,12503.000,72.814
2,26_C02_fgfr_act104-1.nd2:0121-0246,113.236,951.637,471.670,4894.000,144.733
3,26_C02_fgfr_act104-1.nd2:0051-0121,55.773,933.334,447.000,2692.000,70.833
4,26_C02_fgfr_act104-1.nd2:0394-0138,96.757,1089.031,508.000,3962.400,125.535
5,26_C02_fgfr_act104-1.nd2:0150-0613,181.684,3509.447,603.000,7426.000,232.340
6,26_C02_fgfr_act104-1.nd2:0085-0467,139.855,1796.226,564.570,5110.560,204.884
7,26_C02_fgfr_act104-1.nd2:0487-0168,232.387,1606.278,593.920,6880.000,303.396
8,26_C02_fgfr_act104-1.nd2:0458-0131,151.263,1047.597,615.342,1967.000,199.428
9,26_C02_fgfr_act104-1.nd2:0641-0153,128.869,828.017,491.000,2865.000,172.993
10,26_C02_fgfr_act104-1.nd2:0624-0208,112.813,1025.148,546.000,4013.000,148.673
11,26_C02_fgfr_act104-1.nd2:0599-0131,245.063,938.195,491.000,3232.161,314.658
12,26_C02_fgfr_act104-1.nd2:0688-0113,122.954,1317.024,485.000,4284.389,153.036
13,26_C02_fgfr_act104-1.nd2:0382-0288,121.686,1341.458,488.000,4615.000,155.732
14,26_C02_fgfr_act104-1.nd2:0315-0186,143.657,1339.853,468.000,3994.000,190.977
15,26_C02_fgfr_act104-1.nd2:0353-0291,268.301,2579.296,498.600,9646.440,379.334
16,26_C02_fgfr_act104-1.nd2:0549-0724,155.910,4015.255,535.000,9207.472,210.953
17,26_C02_fgfr_act104-1.nd2:0132-0860,195.205,1464.530,555.400,5479.000,237.488
18,26_C02_fgfr_act104-1.nd2:0168-0968,147.460,1982.702,496.000,12018.000,205.390
19,26_C02_fgfr_act104-1.nd2:0048-0624,39.295,2023.481,975.460,4091.160,54.771
20,26_C02_fgfr_act104-1.nd2:0468-0557,201.120,1333.087,532.000,6377.000,272.349
21,26_C02_fgfr_act104-1.nd2:0388-0474,100.983,3153.911,897.000,7018.780,131.579
22,26_C02_fgfr_act104-1.nd2:0275-0687,362.101,1203.702,491.000,5895.000,462.397
23,26_C02_fgfr_act104-1.nd2:0226-0489,400.551,2332.089,483.000,10360.000,513.533
24,26_C02_fgfr_act104-1.nd2:0536-1139,254.781,1490.445,512.000,8661.000,350.909
25,26_C02_fgfr_act104-1.nd2:0253-0653,209.148,1745.190,531.000,7691.000,303.178
26,26_C02_fgfr_act104-1.nd2:0336-0817,166.474,1298.597,501.000,3876.000,218.567
27,26_C02_fgfr_act104-1.nd2:0383-0931,88.730,991.918,503.060,3144.000,119.183
28,26_C02_fgfr_act104-1.nd2:0233-1035,200.698,1550.302,498.000,8771.485,264.111
29,26_C02_fgfr_act104-1.nd2:0269-0942,31.267,1303.074,570.000,3013.100,43.046
30,26_C02_fgfr_act104-1.nd2:0221-1260,263.231,1352.408,485.000,7928.840,337.374
31,26_C02_fgfr_act104-1.nd2:0319-1423,212.106,3906.093,592.000,9951.000,268.111
32,26_C02_fgfr_act104-1.nd2:0151-1380,181.262,2067.829,540.000,6396.000,229.373
33,26_C02_fgfr_act104-1.nd2:0123-1395,139.855,1331.218,506.140,3768.220,179.472
34,26_C02_fgfr_act104-1.nd2:0125-1418,138.587,1384.206,509.000,4984.000,178.683
35,26_C02_fgfr_act104-1.nd2:0128-1325,106.053,862.914,483.000,2007.450,131.734
36,26_C02_fgfr_act104-1.nd2:0076-1483,87.039,3222.026,527.000,8314.000,109.178
37,26_C02_fgfr_act104-1.nd2:0248-1580,379.002,1032.469,501.000,6751.000,468.400
38,26_C02_fgfr_act104-1.nd2:0786-0496,253.936,1554.092,484.000,9101.000,356.204
39,26_C02_fgfr_act104-1.nd2:0814-0751,211.261,1258.810,499.690,4236.000,271.656
40,26_C02_fgfr_act104-1.nd2:0914-0235,187.177,1191.387,498.000,3564.000,236.703
41,26_C02_fgfr_act104-1.nd2:0574-0612,122.109,1187.417,548.080,3122.080,184.038
42,26_C02_fgfr_act104-1.nd2:0419-1303,378.579,2628.405,495.000,8075.000,497.345
43,26_C02_fgfr_act104-1.nd2:0644-1768,338.017,1737.316,499.000,6560.000,456.055
44,26_C02_fgfr_act104-1.nd2,218.444,1424.971,547.200,7870.000,311.877
45,26_C02_fgfr_act104-1.nd2:0451-1480,218.444,1424.971,547.200,7870.000,311.877
