 ,Label,Area,Mean,Min,Max,Length
1,27_C03_egfrc_act104-1.nd2:0053-0028,52.393,1300.484,500.000,3048.789,70.481
2,27_C03_egfrc_act104-1.nd2:0270-0070,209.993,1588.727,473.000,5802.000,287.752
3,27_C03_egfrc_act104-1.nd2:0251-0104,249.710,685.537,480.000,5678.790,338.593
4,27_C03_egfrc_act104-1.nd2:0158-0175,145.347,806.842,485.000,1933.892,193.649
5,27_C03_egfrc_act104-1.nd2:0524-0043,113.236,2188.645,516.000,4721.000,148.700
6,27_C03_egfrc_act104-1.nd2:0251-0196,245.485,1530.626,488.470,4277.920,330.930
7,27_C03_egfrc_act104-1.nd2:0090-0306,109.011,1070.736,0.000,4524.980,139.718
8,27_C03_egfrc_act104-1.nd2:0268-0256,198.585,1849.359,522.660,4340.000,255.934
9,27_C03_egfrc_act104-1.nd2:0188-0293,237.880,682.648,478.000,4891.447,312.914
10,27_C03_egfrc_act104-1.nd2:0053-0491,53.660,795.156,510.000,1367.860,71.276
11,27_C03_egfrc_act104-1.nd2:0479-0268,176.614,778.071,474.000,3364.000,233.346
12,27_C03_egfrc_act104-1.nd2:0421-0203,278.864,692.830,487.000,1645.000,353.547
13,27_C03_egfrc_act104-1.nd2:0151-0558,170.699,927.694,496.000,2885.883,225.127
14,27_C03_egfrc_act104-1.nd2:0704-0041,60.843,2751.521,634.000,6776.000,81.618
15,27_C03_egfrc_act104-1.nd2:0746-0127,193.515,1553.198,507.270,4686.000,252.275
16,27_C03_egfrc_act104-1.nd2:0444-0373,96.335,1909.449,510.000,7428.000,128.253
17,27_C03_egfrc_act104-1.nd2:0366-0434,84.927,1026.147,528.000,2231.000,104.606
18,27_C03_egfrc_act104-1.nd2:0274-0564,179.149,1666.650,526.000,5646.358,232.082
19,27_C03_egfrc_act104-1.nd2:0421-0466,69.716,2241.269,553.000,9940.000,91.856
20,27_C03_egfrc_act104-1.nd2:0474-0501,47.322,1444.641,533.000,5837.000,64.303
21,27_C03_egfrc_act104-1.nd2:0546-0406,308.863,877.610,491.000,3879.000,388.038
22,27_C03_egfrc_act104-1.nd2:0646-0298,97.602,1211.628,492.000,3439.480,122.848
23,27_C03_egfrc_act104-1.nd2:0784-0218,72.674,1335.079,478.000,3739.000,95.033
24,27_C03_egfrc_act104-1.nd2:0226-0744,239.570,797.106,518.000,2539.400,311.459
25,27_C03_egfrc_act104-1.nd2:0371-0714,151.685,2473.947,582.240,9384.000,198.321
26,27_C03_egfrc_act104-1.nd2:0126-0927,117.461,1184.627,559.841,3572.000,160.858
27,27_C03_egfrc_act104-1.nd2:0108-0936,123.376,1097.457,526.000,2465.000,162.083
28,27_C03_egfrc_act104-1.nd2:0589-0727,280.132,1359.336,538.000,6748.834,348.919
29,27_C03_egfrc_act104-1.nd2:0586-0494,202.810,713.579,510.000,2299.800,264.632
30,27_C03_egfrc_act104-1.nd2:0762-0389,82.392,1191.814,486.000,4946.139,103.016
31,27_C03_egfrc_act104-1.nd2:0789-0324,42.252,3838.802,518.000,12613.000,56.207
32,27_C03_egfrc_act104-1.nd2:1127-0143,190.557,1110.601,459.120,7122.000,254.615
33,27_C03_egfrc_act104-1.nd2:0912-0230,76.054,1378.363,538.700,3804.000,100.127
34,27_C03_egfrc_act104-1.nd2:1027-0124,190.557,1550.660,489.000,4536.820,239.169
35,27_C03_egfrc_act104-1.nd2:1500-0111,171.544,1194.640,500.000,5692.000,217.076
36,27_C03_egfrc_act104-1.nd2:1290-0306,189.712,2089.752,521.300,15405.000,252.399
37,27_C03_egfrc_act104-1.nd2,151.263,1265.411,549.000,3395.000,194.244
38,27_C03_egfrc_act104-1.nd2:1520-0210,151.263,1265.411,549.000,3395.000,194.244
39,27_C03_egfrc_act104-1.nd2:1458-0291,363.791,867.561,478.000,5863.630,478.521
40,27_C03_egfrc_act104-1.nd2:0749-0659,270.836,1836.512,572.000,10780.530,355.628
41,27_C03_egfrc_act104-1.nd2:1009-0486,189.290,1802.575,497.000,6268.000,234.795
42,27_C03_egfrc_act104-1.nd2:0231-0929,74.786,1331.479,535.000,2439.000,95.584
43,27_C03_egfrc_act104-1.nd2:0111-1005,105.208,1559.060,588.000,4467.000,137.676
44,27_C03_egfrc_act104-1.nd2:0048-1079,46.055,727.797,493.720,4056.000,60.797
45,27_C03_egfrc_act104-1.nd2:0183-1024,156.756,794.257,495.160,3495.000,210.505
46,27_C03_egfrc_act104-1.nd2:0473-0827,335.060,1565.147,505.000,8067.600,432.625
47,27_C03_egfrc_act104-1.nd2:0661-0866,253.513,740.136,506.000,2294.000,333.694
48,27_C03_egfrc_act104-1.nd2:0791-0681,121.686,1079.982,518.000,3694.440,158.327
49,27_C03_egfrc_act104-1.nd2:0985-0656,113.236,1155.610,547.000,2783.440,140.385
50,27_C03_egfrc_act104-1.nd2:1154-0456,268.724,1156.060,513.000,4394.000,340.009
51,27_C03_egfrc_act104-1.nd2:0319-1185,213.373,761.090,489.000,1606.000,268.274
52,27_C03_egfrc_act104-1.nd2:0674-0947,183.797,1310.600,530.000,3001.740,245.973
53,27_C03_egfrc_act104-1.nd2:0509-1057,87.885,895.621,495.240,1775.000,111.314
