 ,Label,Area,Mean,Min,Max,Length
1,29_C05_trka_act104-1.nd2:0045-0050,50.280,1074.487,0.000,2926.000,62.630
2,29_C05_trka_act104-1.nd2:0091-0111,105.630,761.068,488.000,2188.980,138.080
3,29_C05_trka_act104-1.nd2:0158-0103,159.291,1702.858,493.640,4667.480,202.820
4,29_C05_trka_act104-1.nd2:0069-0211,182.107,1071.350,492.000,4895.120,250.802
5,29_C05_trka_act104-1.nd2:0095-0261,126.334,826.892,507.000,3850.270,167.073
6,29_C05_trka_act104-1.nd2:0190-0151,85.349,954.862,490.000,7228.000,113.758
7,29_C05_trka_act104-1.nd2:0090-0559,302.948,1504.471,506.000,6860.000,424.558
8,29_C05_trka_act104-1.nd2:0129-0491,134.784,1266.170,462.000,7500.000,174.510
9,29_C05_trka_act104-1.nd2:0201-0544,167.741,1549.936,476.000,5805.000,239.284
10,29_C05_trka_act104-1.nd2:0069-0620,45.632,3014.529,704.000,4509.000,66.431
11,29_C05_trka_act104-1.nd2:0280-0355,133.939,2066.582,513.080,10126.530,185.429
12,29_C05_trka_act104-1.nd2:0165-0640,125.489,1273.034,524.000,4414.000,185.154
13,29_C05_trka_act104-1.nd2:0208-0671,174.924,1109.937,520.000,5345.000,258.809
14,29_C05_trka_act104-1.nd2:0119-0789,212.528,1998.362,504.000,5484.000,277.514
15,29_C05_trka_act104-1.nd2:0171-0834,124.221,1669.610,506.000,4576.850,173.163
16,29_C05_trka_act104-1.nd2:0288-0730,249.288,1125.125,505.000,4327.000,354.592
17,29_C05_trka_act104-1.nd2:0334-0747,96.335,1342.284,533.000,3268.000,142.624
18,29_C05_trka_act104-1.nd2:0547-0077,138.165,1192.282,0.000,3406.080,175.780
19,29_C05_trka_act104-1.nd2:0359-0299,122.109,2013.901,525.000,5777.680,164.616
20,29_C05_trka_act104-1.nd2:0363-0361,381.537,1170.864,492.000,5565.000,499.592
21,29_C05_trka_act104-1.nd2:0456-0216,127.179,2366.783,555.000,6970.000,170.590
22,29_C05_trka_act104-1.nd2:0700-0126,130.137,735.551,482.000,2515.000,163.702
23,29_C05_trka_act104-1.nd2:0606-0163,294.498,981.688,447.000,5608.760,387.335
24,29_C05_trka_act104-1.nd2:0548-0126,86.194,1152.028,506.000,2684.000,128.097
25,29_C05_trka_act104-1.nd2:0529-0314,197.318,1096.635,465.000,4913.000,270.675
26,29_C05_trka_act104-1.nd2:0444-0441,126.756,1034.005,509.000,3960.000,175.617
27,29_C05_trka_act104-1.nd2:0578-0276,80.279,1131.865,568.000,3115.000,111.812
28,29_C05_trka_act104-1.nd2:0785-0181,251.400,1003.238,470.000,3543.000,312.716
29,29_C05_trka_act104-1.nd2:0796-0230,266.611,1475.831,0.000,4159.480,354.538
30,29_C05_trka_act104-1.nd2:0594-0596,122.954,1444.959,522.000,4796.000,162.071
31,29_C05_trka_act104-1.nd2:0727-0438,214.641,2848.856,540.000,8313.000,290.255
32,29_C05_trka_act104-1.nd2:0604-0659,47.745,1098.883,511.140,3181.087,64.315
33,29_C05_trka_act104-1.nd2:0764-0459,343.510,1173.512,495.000,5707.000,427.402
34,29_C05_trka_act104-1.nd2:0867-0345,181.262,1499.027,534.000,3805.000,228.543
35,29_C05_trka_act104-1.nd2:0839-0326,49.013,1180.998,502.000,6285.000,61.783
36,29_C05_trka_act104-1.nd2:1044-0121,98.025,1895.093,533.240,5307.000,123.317
37,29_C05_trka_act104-1.nd2:0876-0536,180.839,1563.632,519.600,4945.000,231.424
38,29_C05_trka_act104-1.nd2:0785-0599,118.306,893.191,465.000,2959.000,147.062
39,29_C05_trka_act104-1.nd2:0699-0666,144.080,1229.611,522.810,5924.800,183.923
40,29_C05_trka_act104-1.nd2:0341-0955,79.857,1793.648,533.740,8059.000,100.250
41,29_C05_trka_act104-1.nd2:0338-0932,147.460,1354.082,513.000,5295.000,190.171
42,29_C05_trka_act104-1.nd2:0189-0992,180.417,814.701,515.000,5578.000,242.608
43,29_C05_trka_act104-1.nd2:0130-1155,113.658,1585.312,484.000,4436.000,157.603
44,29_C05_trka_act104-1.nd2:0029-1155,54.083,670.793,470.000,1501.000,68.616
45,29_C05_trka_act104-1.nd2:0286-1157,146.192,1464.484,492.000,4561.000,209.454
46,29_C05_trka_act104-1.nd2:0315-1058,177.459,1218.339,478.000,4548.000,249.333
47,29_C05_trka_act104-1.nd2:0406-1059,185.064,1150.763,529.000,4749.000,236.807
48,29_C05_trka_act104-1.nd2:0467-0980,199.008,976.417,495.032,3161.000,255.868
49,29_C05_trka_act104-1.nd2:0243-1332,232.387,2591.075,608.000,8321.000,303.182
50,29_C05_trka_act104-1.nd2:0342-1267,321.539,1065.895,503.240,3585.000,452.899
51,29_C05_trka_act104-1.nd2:0453-1263,110.278,1360.149,510.000,3213.000,155.539
52,29_C05_trka_act104-1.nd2:0091-1390,80.702,3124.121,997.600,6221.612,107.900
53,29_C05_trka_act104-1.nd2:0176-1172,268.724,1023.812,513.000,5818.373,379.998
54,29_C05_trka_act104-1.nd2:0467-1188,61.688,769.484,514.000,1933.000,87.273
55,29_C05_trka_act104-1.nd2:0186-1194,121.264,804.605,495.540,3134.600,180.110
56,29_C05_trka_act104-1.nd2:0323-1337,95.490,1987.070,531.000,5312.000,138.065
57,29_C05_trka_act104-1.nd2:0304-1482,299.990,1090.015,511.000,6098.920,414.050
58,29_C05_trka_act104-1.nd2:0139-1694,198.585,1299.127,516.660,4100.000,265.701
59,29_C05_trka_act104-1.nd2:1079-0108,76.054,661.559,487.000,1673.000,101.898
60,29_C05_trka_act104-1.nd2:1128-0111,83.237,1456.469,489.000,4482.340,107.722
61,29_C05_trka_act104-1.nd2:0938-0265,196.895,648.360,485.000,4320.440,292.970
62,29_C05_trka_act104-1.nd2:0581-0977,110.701,742.644,526.800,2075.000,152.249
63,29_C05_trka_act104-1.nd2:0790-0799,260.273,1862.122,582.000,4444.583,328.124
64,29_C05_trka_act104-1.nd2:0761-0802,226.894,1102.448,529.000,3255.000,295.331
65,29_C05_trka_act104-1.nd2:1134-0253,100.983,1082.176,480.000,3691.000,130.726
66,29_C05_trka_act104-1.nd2:1107-0358,100.138,1218.249,517.000,3071.000,125.390
67,29_C05_trka_act104-1.nd2:1133-0193,196.050,1547.263,489.000,4630.000,257.490
68,29_C05_trka_act104-1.nd2:1232-0279,370.551,1506.543,493.000,4567.000,464.311
69,29_C05_trka_act104-1.nd2:1327-0133,151.685,1449.197,512.000,4668.000,183.973
70,29_C05_trka_act104-1.nd2:1275-0186,202.810,635.035,482.000,1477.000,263.526
71,29_C05_trka_act104-1.nd2:1100-0469,209.148,931.076,497.520,2595.000,271.155
72,29_C05_trka_act104-1.nd2:1245-0407,346.468,1408.418,512.000,5911.000,420.384
73,29_C05_trka_act104-1.nd2,188.867,1851.152,492.000,7414.770,264.288
74,29_C05_trka_act104-1.nd2:0201-1591,188.867,1851.152,492.000,7414.770,264.288
75,29_C05_trka_act104-1.nd2:0419-1563,179.149,1585.847,533.000,7410.000,235.280
