 ,Label,Area,Mean,Min,Max,Length
1,35_C11_igf1r_bmpr211m2-1.nd2:0173-0115,190.980,1606.255,486.000,5991.000,237.906
2,35_C11_igf1r_bmpr211m2-1.nd2:0113-0221,118.306,1642.462,505.000,5234.935,155.911
3,35_C11_igf1r_bmpr211m2-1.nd2:0448-0036,57.463,2626.018,507.000,6233.000,69.232
4,35_C11_igf1r_bmpr211m2-1.nd2:0513-0109,250.978,772.694,465.000,2252.000,334.889
5,35_C11_igf1r_bmpr211m2-1.nd2:0125-0275,49.858,2382.269,534.000,5068.000,63.781
6,35_C11_igf1r_bmpr211m2-1.nd2:0066-0318,66.336,700.589,514.580,1219.983,90.117
7,35_C11_igf1r_bmpr211m2-1.nd2:0166-0321,170.276,1744.002,482.000,8481.000,222.436
8,35_C11_igf1r_bmpr211m2-1.nd2:0266-0294,156.756,1532.205,456.000,5369.340,206.677
9,35_C11_igf1r_bmpr211m2-1.nd2:0096-0384,85.772,1682.213,580.000,4008.000,114.161
10,35_C11_igf1r_bmpr211m2-1.nd2:0936-0028,61.266,1719.119,607.000,4708.000,86.930
11,35_C11_igf1r_bmpr211m2-1.nd2:0862-0089,119.151,1289.878,485.730,5369.000,148.293
12,35_C11_igf1r_bmpr211m2-1.nd2:0594-0206,251.400,1072.096,479.760,5469.000,321.063
13,35_C11_igf1r_bmpr211m2-1.nd2:0273-0389,84.927,1052.015,518.000,4674.120,108.976
14,35_C11_igf1r_bmpr211m2-1.nd2:0432-0318,106.053,2277.821,617.880,5832.000,133.265
15,35_C11_igf1r_bmpr211m2-1.nd2:0323-0357,56.195,1465.435,505.000,5339.000,76.617
16,35_C11_igf1r_bmpr211m2-1.nd2:0096-0486,92.955,1767.785,560.180,4458.000,121.908
17,35_C11_igf1r_bmpr211m2-1.nd2:0271-0449,81.969,1266.284,528.000,3202.420,113.124
18,35_C11_igf1r_bmpr211m2-1.nd2:0219-0491,144.080,1417.180,500.000,11050.100,194.279
19,35_C11_igf1r_bmpr211m2-1.nd2:0203-0497,77.321,1001.265,488.310,3561.160,115.061
20,35_C11_igf1r_bmpr211m2-1.nd2:0546-0411,393.790,1594.957,511.500,5893.200,529.214
21,35_C11_igf1r_bmpr211m2-1.nd2:0727-0454,209.993,1784.473,498.000,10728.000,261.460
22,35_C11_igf1r_bmpr211m2-1.nd2:0790-0374,188.867,1553.742,449.050,6198.000,254.649
23,35_C11_igf1r_bmpr211m2-1.nd2:0183-0614,157.601,1226.805,514.000,4970.000,234.152
24,35_C11_igf1r_bmpr211m2-1.nd2:0501-0531,130.137,795.299,498.000,3427.000,164.183
25,35_C11_igf1r_bmpr211m2-1.nd2:0141-0652,109.011,2594.503,612.000,10370.000,155.960
26,35_C11_igf1r_bmpr211m2-1.nd2:0308-0617,322.807,922.325,480.000,5193.000,431.275
27,35_C11_igf1r_bmpr211m2-1.nd2:0647-0609,301.680,955.186,467.000,5235.000,382.563
28,35_C11_igf1r_bmpr211m2-1.nd2:0690-0621,212.106,1420.292,510.760,4152.000,306.219
29,35_C11_igf1r_bmpr211m2-1.nd2:0329-0700,296.610,1058.972,484.000,3544.560,434.176
30,35_C11_igf1r_bmpr211m2-1.nd2:0220-0775,46.055,1328.671,570.080,4576.000,65.892
31,35_C11_igf1r_bmpr211m2-1.nd2:0153-0856,134.784,2491.679,536.730,9172.240,196.444
32,35_C11_igf1r_bmpr211m2-1.nd2:0153-0929,138.165,1105.027,521.000,2925.000,197.282
33,35_C11_igf1r_bmpr211m2-1.nd2:0368-0890,100.983,888.378,550.000,3394.000,139.750
34,35_C11_igf1r_bmpr211m2-1.nd2:0572-0830,200.698,921.688,530.660,2889.000,263.810
35,35_C11_igf1r_bmpr211m2-1.nd2:0402-0914,50.280,2184.884,560.000,5630.000,68.837
36,35_C11_igf1r_bmpr211m2-1.nd2:0226-0982,206.613,1500.102,506.000,4246.000,295.469
37,35_C11_igf1r_bmpr211m2-1.nd2:0181-0965,148.728,855.102,496.000,3190.336,213.511
38,35_C11_igf1r_bmpr211m2-1.nd2:0193-1037,190.135,1412.693,480.000,11642.000,260.808
39,35_C11_igf1r_bmpr211m2-1.nd2:0384-1065,343.510,1159.576,480.000,3933.000,504.263
40,35_C11_igf1r_bmpr211m2-1.nd2:0076-1105,77.321,1505.018,522.000,3259.690,101.467
41,35_C11_igf1r_bmpr211m2-1.nd2:0205-1220,172.389,3063.545,597.000,8332.000,253.571
42,35_C11_igf1r_bmpr211m2-1.nd2:0113-1302,106.898,2426.697,487.140,5432.000,142.193
43,35_C11_igf1r_bmpr211m2-1.nd2:0085-1325,79.012,1915.485,533.000,4908.200,110.873
44,35_C11_igf1r_bmpr211m2-1.nd2:0186-1291,168.164,1561.734,498.000,5405.210,244.588
45,35_C11_igf1r_bmpr211m2-1.nd2:0268-1332,128.024,1030.380,483.000,3874.680,185.299
46,35_C11_igf1r_bmpr211m2-1.nd2:0324-1362,193.092,1161.170,534.170,4512.000,262.505
47,35_C11_igf1r_bmpr211m2-1.nd2:0631-1343,103.518,1777.738,707.000,4417.000,131.960
48,35_C11_igf1r_bmpr211m2-1.nd2:0606-1258,59.998,906.887,554.000,2155.000,87.518
49,35_C11_igf1r_bmpr211m2-1.nd2:0682-1250,286.047,857.679,503.720,3647.000,366.484
50,35_C11_igf1r_bmpr211m2-1.nd2:0985-0426,133.939,1463.264,519.000,3841.400,173.718
51,35_C11_igf1r_bmpr211m2-1.nd2:0837-0899,307.173,1098.751,529.480,4102.000,421.401
52,35_C11_igf1r_bmpr211m2-1.nd2:0244-1446,84.504,1008.941,594.680,1671.010,125.417
53,35_C11_igf1r_bmpr211m2-1.nd2:0568-1477,148.728,1120.584,524.000,4887.000,199.329
54,35_C11_igf1r_bmpr211m2-1.nd2:0415-1568,181.684,1163.382,520.020,6272.438,250.617
55,35_C11_igf1r_bmpr211m2-1.nd2:0096-1498,61.688,813.406,525.000,1695.000,87.555
56,35_C11_igf1r_bmpr211m2-1.nd2:0048-1556,44.787,1329.977,590.000,2625.000,60.887
