 ,Label,Area,Mean,Min,Max,Length
1,47_D02_trka_bmpr211m2-1.nd2:0061-0153,132.672,2001.495,475.000,6133.440,194.766
2,47_D02_trka_bmpr211m2-1.nd2:0160-0814,256.471,668.547,493.010,2971.200,328.428
3,47_D02_trka_bmpr211m2-1.nd2:0083-1380,116.193,1931.415,539.000,6634.000,151.689
4,47_D02_trka_bmpr211m2-1.nd2:0050-1571,62.956,734.356,519.000,1415.777,85.388
5,47_D02_trka_bmpr211m2-1.nd2:0045-1024,140.700,1339.194,529.170,3585.560,197.228
6,47_D02_trka_bmpr211m2-1.nd2:0236-1278,411.536,1079.279,510.173,16027.820,537.027
7,47_D02_trka_bmpr211m2-1.nd2:0086-1798,80.702,728.663,496.000,2639.920,117.755
8,47_D02_trka_bmpr211m2-1.nd2:0156-1924,251.400,1501.889,494.920,8796.320,329.605
9,47_D02_trka_bmpr211m2-1.nd2:0118-2164,156.756,1196.409,524.000,4305.000,192.784
10,47_D02_trka_bmpr211m2-1.nd2:0115-2567,149.150,2253.955,538.650,11432.000,189.825
11,47_D02_trka_bmpr211m2-1.nd2:0107-3002,103.095,3995.977,593.020,15600.000,144.463
12,47_D02_trka_bmpr211m2-1.nd2:0123-3228,165.628,1657.357,485.000,16151.000,211.985
13,47_D02_trka_bmpr211m2-1.nd2:0356-0616,309.708,1245.333,488.000,8478.000,391.825
14,47_D02_trka_bmpr211m2-1.nd2:0173-0039,36.337,1103.526,473.730,2114.632,47.736
15,47_D02_trka_bmpr211m2-1.nd2:0416-0454,285.202,1009.526,491.000,4776.320,387.904
16,47_D02_trka_bmpr211m2-1.nd2:0361-2828,192.247,1632.078,489.000,7483.000,275.693
17,47_D02_trka_bmpr211m2-1.nd2:0536-3051,108.166,1939.329,542.000,5122.000,149.721
18,47_D02_trka_bmpr211m2-1.nd2:0496-3133,284.780,2924.362,500.000,21023.000,362.201
19,47_D02_trka_bmpr211m2-1.nd2:0825-2967,371.819,1203.378,464.000,10668.280,493.471
20,47_D02_trka_bmpr211m2-1.nd2:0201-3449,219.289,802.517,510.000,11140.000,287.532
21,47_D02_trka_bmpr211m2-1.nd2:0483-3283,205.346,3479.091,537.000,16109.000,250.279
22,47_D02_trka_bmpr211m2-1.nd2:0416-3433,269.569,2403.057,560.000,10412.840,331.571
23,47_D02_trka_bmpr211m2-1.nd2:0318-3519,125.066,1806.186,513.000,9054.000,163.079
24,47_D02_trka_bmpr211m2-1.nd2:0223-3521,96.757,891.153,503.000,2834.000,121.161
25,47_D02_trka_bmpr211m2-1.nd2:0206-3504,107.743,1690.726,533.000,4247.000,134.879
26,47_D02_trka_bmpr211m2-1.nd2:0403-1966,400.551,815.241,517.140,2876.070,527.177
27,47_D02_trka_bmpr211m2-1.nd2:0809-2604,184.219,648.103,514.000,2040.000,248.767
28,47_D02_trka_bmpr211m2-1.nd2:0618-2735,236.612,1055.004,498.000,2968.889,338.624
29,47_D02_trka_bmpr211m2-1.nd2:0643-2564,154.220,1690.398,499.220,8445.880,199.639
30,47_D02_trka_bmpr211m2-1.nd2:0477-1175,299.990,1066.922,510.040,7220.000,384.730
31,47_D02_trka_bmpr211m2-1.nd2:0696-0724,359.566,766.533,476.000,5174.000,469.175
32,47_D02_trka_bmpr211m2-1.nd2:0671-0910,210.416,1405.260,530.000,4045.220,293.652
33,47_D02_trka_bmpr211m2-1.nd2:0516-1064,217.599,941.340,521.160,4868.000,304.104
34,47_D02_trka_bmpr211m2-1.nd2:0637-1273,81.124,1087.929,526.700,2452.000,102.008
35,47_D02_trka_bmpr211m2-1.nd2:0687-1371,213.796,892.830,488.000,7142.000,271.748
36,47_D02_trka_bmpr211m2-1.nd2:0684-1596,212.528,1057.437,525.000,4009.155,275.559
37,47_D02_trka_bmpr211m2-1.nd2:0631-2657,151.263,3178.908,501.000,9812.000,208.031
38,47_D02_trka_bmpr211m2-1.nd2:1062-2670,148.728,1692.384,524.000,5171.000,213.450
39,47_D02_trka_bmpr211m2-1.nd2:0594-3518,98.025,2213.233,535.000,7828.000,120.244
40,47_D02_trka_bmpr211m2-1.nd2:0326-0163,80.702,1119.558,511.000,3675.000,116.800
41,47_D02_trka_bmpr211m2-1.nd2:0256-0126,95.067,1575.352,495.000,7998.520,141.664
42,47_D02_trka_bmpr211m2-1.nd2:0330-0334,349.003,1099.788,498.000,7029.000,469.658
43,47_D02_trka_bmpr211m2-1.nd2:0509-0702,70.984,1639.432,619.000,2824.000,86.165
44,47_D02_trka_bmpr211m2-1.nd2:0517-0061,76.899,2160.290,526.000,5430.000,98.172
45,47_D02_trka_bmpr211m2-1.nd2:0706-0050,93.377,1534.206,512.000,3351.000,124.491
46,47_D02_trka_bmpr211m2-1.nd2:0401-0059,116.616,799.617,470.000,2641.000,151.224
47,47_D02_trka_bmpr211m2-1.nd2:0587-0244,460.549,1296.380,498.000,9309.000,633.520
48,47_D02_trka_bmpr211m2-1.nd2:1065-0464,283.090,1195.464,478.000,10683.692,383.115
49,47_D02_trka_bmpr211m2-1.nd2:1212-0506,344.778,1239.652,492.984,4966.100,494.973
50,47_D02_trka_bmpr211m2-1.nd2:0839-0579,271.681,984.909,474.000,4930.051,347.300
