 ,Label,Area,Mean,Min,Max,Length
1,40_D09_trka_br223-1.nd2:0349-0416,349.425,1368.359,484.000,6737.000,451.821
2,40_D09_trka_br223-1.nd2:0354-0280,248.443,1599.115,527.000,5921.000,352.123
3,40_D09_trka_br223-1.nd2:0175-0176,204.078,1471.425,495.560,6012.000,249.781
4,40_D09_trka_br223-1.nd2:0384-0782,96.335,898.113,549.000,3153.000,122.051
5,40_D09_trka_br223-1.nd2:0086-0759,71.829,1626.165,586.000,5152.320,100.421
6,40_D09_trka_br223-1.nd2:0106-0671,106.898,974.499,510.250,3791.950,147.404
7,40_D09_trka_br223-1.nd2:0270-0677,57.885,1957.538,519.000,4707.560,70.757
8,40_D09_trka_br223-1.nd2:0123-0506,92.110,1279.539,516.000,6217.000,125.075
9,40_D09_trka_br223-1.nd2:0081-0464,83.659,851.819,491.000,3162.365,111.319
10,40_D09_trka_br223-1.nd2:0056-0526,46.055,1108.117,534.000,3616.000,60.890
11,40_D09_trka_br223-1.nd2:0071-0566,38.449,1279.429,557.720,1943.560,53.616
12,40_D09_trka_br223-1.nd2:0358-0887,148.305,1986.827,546.600,5748.000,201.176
13,40_D09_trka_br223-1.nd2:0571-0462,302.525,1669.970,492.000,12347.783,394.936
14,40_D09_trka_br223-1.nd2:0043-0426,263.654,1621.804,494.214,5257.310,387.589
15,40_D09_trka_br223-1.nd2:0069-0351,268.301,939.613,462.000,7343.880,392.383
16,40_D09_trka_br223-1.nd2:0201-0521,38.449,1668.078,530.180,5321.700,56.073
17,40_D09_trka_br223-1.nd2:0121-0972,127.179,1139.677,550.240,2587.744,160.335
18,40_D09_trka_br223-1.nd2:0116-1128,102.250,1126.781,499.000,2622.920,149.835
19,40_D09_trka_br223-1.nd2:0146-1212,151.685,1254.396,502.360,4760.000,194.514
20,40_D09_trka_br223-1.nd2:0296-0939,147.038,2025.672,540.000,7814.000,190.962
21,40_D09_trka_br223-1.nd2:0593-0897,69.716,1366.262,622.000,3097.000,102.613
22,40_D09_trka_br223-1.nd2:0509-0912,103.095,2039.049,724.100,6131.420,154.623
23,40_D09_trka_br223-1.nd2:0448-0949,286.892,1930.334,526.000,8956.000,396.056
24,40_D09_trka_br223-1.nd2:0188-1078,121.264,1273.899,520.600,3170.560,184.446
25,40_D09_trka_br223-1.nd2:0193-1042,45.210,1295.649,562.000,2152.000,63.544
26,40_D09_trka_br223-1.nd2:0218-1152,126.334,1158.118,503.000,5020.000,159.947
27,40_D09_trka_br223-1.nd2:0023-1332,44.365,1247.578,530.620,2523.830,58.515
28,40_D09_trka_br223-1.nd2:0168-1428,159.291,1309.996,490.000,6750.080,202.191
29,40_D09_trka_br223-1.nd2:0111-1562,111.546,1103.403,595.000,3758.050,158.099
30,40_D09_trka_br223-1.nd2:0178-1691,226.049,1168.761,530.878,4761.000,307.144
31,40_D09_trka_br223-1.nd2:0050-1673,43.097,2229.080,1013.000,3745.000,59.752
32,40_D09_trka_br223-1.nd2:0051-1748,45.210,892.159,494.563,2010.000,58.934
33,40_D09_trka_br223-1.nd2:0068-1759,165.628,1330.076,557.700,4552.000,216.699
34,40_D09_trka_br223-1.nd2:0103-1786,97.602,985.143,505.000,2801.000,126.919
35,40_D09_trka_br223-1.nd2:0133-1841,92.532,745.939,506.000,2231.000,119.342
36,40_D09_trka_br223-1.nd2:0136-1856,108.166,844.150,510.000,2091.680,141.547
37,40_D09_trka_br223-1.nd2:0093-1916,138.165,1005.074,507.000,3141.850,175.490
38,40_D09_trka_br223-1.nd2:0071-2039,113.658,1213.700,499.000,3914.000,146.217
39,40_D09_trka_br223-1.nd2:0058-2111,84.082,686.964,480.000,2617.000,115.710
40,40_D09_trka_br223-1.nd2:0112-2209,111.968,2225.465,913.000,5099.270,154.292
41,40_D09_trka_br223-1.nd2:0251-0990,100.983,983.495,528.000,2393.000,136.518
42,40_D09_trka_br223-1.nd2:0544-1050,162.671,879.907,503.000,3634.000,206.001
