 ,Label,Area,Mean,Min,Max,Length
1,38_D11_her2mb_br223-1.nd2:0236-0101,214.630,655.648,479.000,2022.000,274.156
2,38_D11_her2mb_br223-1.nd2:0123-0090,135.200,917.165,504.000,2504.080,170.011
3,38_D11_her2mb_br223-1.nd2:0180-0081,116.188,1023.816,516.000,2428.380,145.077
4,38_D11_her2mb_br223-1.nd2:0163-0156,184.210,812.520,501.000,2286.000,232.408
5,38_D11_her2mb_br223-1.nd2:0040-0093,40.983,930.125,519.000,1789.299,51.775
6,38_D11_her2mb_br223-1.nd2:0061-0143,70.558,689.454,502.740,2194.000,85.921
7,38_D11_her2mb_br223-1.nd2:0068-0146,62.530,739.500,499.940,1614.000,80.804
8,38_D11_her2mb_br223-1.nd2:0361-0151,177.450,887.851,509.000,2498.000,226.203
9,38_D11_her2mb_br223-1.nd2:0448-0216,197.308,1444.761,569.000,4936.000,270.625
10,38_D11_her2mb_br223-1.nd2:0336-0108,345.183,1153.016,483.000,3813.650,470.380
11,38_D11_her2mb_br223-1.nd2:0266-0201,210.405,1064.971,507.000,2326.000,272.588
12,38_D11_her2mb_br223-1.nd2:0481-0146,325.748,956.814,489.000,2370.000,409.486
13,38_D11_her2mb_br223-1.nd2:0136-0278,112.385,1187.021,575.000,2798.000,145.203
14,38_D11_her2mb_br223-1.nd2:0091-0263,34.645,1083.837,627.000,2219.000,46.213
15,38_D11_her2mb_br223-1.nd2:0115-0316,105.625,996.444,482.000,2280.100,140.021
16,38_D11_her2mb_br223-1.nd2:0384-0393,234.065,858.682,483.000,4158.380,329.049
17,38_D11_her2mb_br223-1.nd2:0418-0226,220.968,800.763,514.000,2181.000,280.892
18,38_D11_her2mb_br223-1.nd2:0150-0583,173.225,1291.993,504.000,4204.000,217.519
19,38_D11_her2mb_br223-1.nd2:0068-0682,216.743,1116.010,533.000,4771.000,312.527
20,38_D11_her2mb_br223-1.nd2:0060-0416,51.545,1643.625,555.000,2963.640,75.077
21,38_D11_her2mb_br223-1.nd2:0071-0377,51.968,732.772,507.000,1333.000,65.789
22,38_D11_her2mb_br223-1.nd2:0235-0607,100.555,2502.484,638.000,5540.000,144.065
23,38_D11_her2mb_br223-1.nd2:0143-0439,81.120,1477.060,511.000,4604.341,116.021
24,38_D11_her2mb_br223-1.nd2:0027-0859,78.585,2295.612,0.000,7215.880,104.769
25,38_D11_her2mb_br223-1.nd2:0118-0709,132.243,1206.915,522.630,2868.000,174.463
26,38_D11_her2mb_br223-1.nd2:0644-0156,335.043,992.860,488.000,3018.000,428.232
27,38_D11_her2mb_br223-1.nd2:0228-0374,37.180,571.803,515.394,652.000,50.505
28,38_D11_her2mb_br223-1.nd2:0173-0691,96.752,1528.578,595.650,5726.640,121.430
29,38_D11_her2mb_br223-1.nd2:0111-1007,141.115,1278.271,498.000,2902.850,180.223
30,38_D11_her2mb_br223-1.nd2:0126-0945,105.203,1347.064,520.920,3438.000,142.325
31,38_D11_her2mb_br223-1.nd2:0248-0906,84.500,2685.928,614.000,9939.000,107.461
32,38_D11_her2mb_br223-1.nd2:0249-0884,285.610,1209.301,526.310,4489.000,373.571
33,38_D11_her2mb_br223-1.nd2:0186-1032,110.273,1003.928,481.000,2995.000,148.636
34,38_D11_her2mb_br223-1.nd2:0025-0992,86.612,1023.148,533.000,2342.000,111.356
35,38_D11_her2mb_br223-1.nd2:0331-0957,201.533,1029.876,478.000,4084.000,278.697
36,38_D11_her2mb_br223-1.nd2:0296-1317,141.537,1051.097,495.000,2248.000,190.674
37,38_D11_her2mb_br223-1.nd2:0501-0268,231.530,967.911,533.810,3070.690,289.728
38,38_D11_her2mb_br223-1.nd2:0541-0216,96.330,806.098,513.000,2246.000,129.709
39,38_D11_her2mb_br223-1.nd2:0501-0473,249.275,1364.854,523.000,4513.000,354.096
40,38_D11_her2mb_br223-1.nd2:0574-0370,92.528,1216.806,524.000,4308.000,122.835
41,38_D11_her2mb_br223-1.nd2:0436-0667,148.298,1252.633,517.000,2647.000,210.446
42,38_D11_her2mb_br223-1.nd2:0178-1269,66.332,1448.335,543.000,4233.000,88.908
43,38_D11_her2mb_br223-1.nd2:0163-1298,201.110,1626.794,527.000,4206.000,255.248
44,38_D11_her2mb_br223-1.nd2:0243-1313,225.192,1272.273,521.000,5572.640,327.999
45,38_D11_her2mb_br223-1.nd2:0569-0426,126.750,1492.451,612.000,3243.990,177.487
46,38_D11_her2mb_br223-1.nd2:0593-0464,213.785,753.645,535.000,2097.294,284.116
47,38_D11_her2mb_br223-1.nd2:0822-0120,142.383,850.101,462.000,2221.000,186.734
48,38_D11_her2mb_br223-1.nd2:0779-0268,228.573,926.498,495.000,2364.000,315.458
49,38_D11_her2mb_br223-1.nd2:0654-0260,111.540,1146.424,536.000,3762.000,137.697
50,38_D11_her2mb_br223-1.nd2:0669-0110,107.315,879.029,525.216,1556.741,142.789
51,38_D11_her2mb_br223-1.nd2:0725-0173,36.758,1140.305,567.920,2047.200,49.373
52,38_D11_her2mb_br223-1.nd2:0603-0498,143.650,1687.720,591.000,5090.000,188.220
53,38_D11_her2mb_br223-1.nd2:0657-0414,139.425,1533.406,501.000,5481.960,201.457
54,38_D11_her2mb_br223-1.nd2:0839-0296,205.335,1079.362,502.000,5332.000,267.682
55,38_D11_her2mb_br223-1.nd2:0343-1310,76.895,930.577,537.000,3037.958,106.289
56,38_D11_her2mb_br223-1.nd2:0409-1225,93.373,1903.254,562.000,5917.800,136.776
57,38_D11_her2mb_br223-1.nd2:0338-1200,142.805,1572.608,509.000,7961.000,182.003
58,38_D11_her2mb_br223-1.nd2:1044-0138,216.320,895.706,519.000,2466.160,264.646
59,38_D11_her2mb_br223-1.nd2:0073-1150,92.950,782.207,517.000,1820.700,116.055
60,38_D11_her2mb_br223-1.nd2:0065-1182,62.108,1050.203,541.000,1765.000,82.131
61,38_D11_her2mb_br223-1.nd2:0067-1242,116.188,907.649,0.000,2525.000,148.619
62,38_D11_her2mb_br223-1.nd2:0034-1425,131.398,1100.069,473.000,3073.000,188.899
