 M .gitignore
?? Conversion_Efficiency/DEVELOPMENT_PLAN.md
?? Conversion_Efficiency/New_Quantif_Averaged/
?? Conversion_Efficiency/New_Quantif_Benchmark/
?? Conversion_Efficiency/New_Quantif_P23/
?? Conversion_Efficiency/New_Quantif_P26/
?? Conversion_Efficiency/New_Quantif_P28/
?? Conversion_Efficiency/New_Quantif_P32/
?? Conversion_Efficiency/Plate9_C6C2_QTFCs/
?? Conversion_Efficiency/Plate9_C6C2_QTFCs_overlays.zip
?? Conversion_Efficiency/Plate9_C6C2_QTFCs_results.zip
?? Conversion_Efficiency/b02_3d.py
?? Conversion_Efficiency/b02_conversion.py
?? Conversion_Efficiency/count_well.py
?? Conversion_Efficiency/fusion_index.py
?? Conversion_Efficiency/length_human_vs_machine.py
?? Conversion_Efficiency/multinuc_averaged.py
?? Conversion_Efficiency/multinuc_plate.py
?? Conversion_Efficiency/myotube_length_dist.py
?? Conversion_Efficiency/myotube_sweep.py
?? Conversion_Efficiency/nuclei_3d.py
?? Conversion_Efficiency/nuclei_filter.py
?? Conversion_Efficiency/plate23_fusion/
?? Conversion_Efficiency/plate23_myotube/
?? Conversion_Efficiency/plate23_nuclei/
?? Conversion_Efficiency/plate23_real_fusion/
?? Conversion_Efficiency/plate26_myotube/
?? Conversion_Efficiency/plate26_nuclei/
?? Conversion_Efficiency/plate28_myotube/
?? Conversion_Efficiency/plate28_nuclei/
?? Conversion_Efficiency/plate32_myotube/
?? Conversion_Efficiency/plate32_nuclei/
?? Conversion_Efficiency/real_fusion.py
?? Conversion_Efficiency/run_fusion.sh
?? Conversion_Efficiency/run_myotube.sh
?? Conversion_Efficiency/summary_fusion.py
?? Conversion_Efficiency/summary_plate.py
?? Conversion_Efficiency/summary_real_fusion.py
?? Conversion_Efficiency/treatment_summary_table.py
?? Conversion_Efficiency/zoom_crop.py
?? PrecisionMyotube/
?? annotation_tools/
?? cleanup_2026-08/
?? competitors/
?? coordination/
?? docs/
?? model_labs/
?? output/
?? tmp/
