 ,Area,Length
1,587,558.521
2,501,495.098
3,230,215.906
4,134,121.530
5,169,167.128
6,242,230.197
7,174,164.316
8,211,204.889
9,520,495.974
10,465,454.619
11,186,182.291
12,329,323.730
13,340,319.842
14,117,103.531
15,327,303.453
16,181,171.851
17,480,452.798
18,661,640.665
19,130,124.995
20,127,118.929
21,257,247.706
22,249,243.310
23,462,444.006
24,309,304.100
25,485,458.998
26,492,456.902
27,430,412.747
28,360,349.688
29,343,331.584
30,340,330.346
31,303,295.793
32,355,346.116
33,255,245.275
34,241,237.623
35,156,148.494
36,108,105.837
37,242,238.404
38,149,141.586
39,79,75.921
40,108,99.784
41,78,73.318
42,252,237.637
43,285,267.722
44,259,244.031
45,344,325.215
46,107,104.051
47,131,126.167
48,582,570.678
49,582,570.678
50,258,254.997
51,171,169.269
52,75,74.587
53,101,96.933
54,191,180.697
55,145,137.785
56,248,241.635
57,165,161.682
58,560,547.821
59,276,270.379
60,221,213.602
61,157,153.587
62,137,132.827
63,354,346.148
64,780,767.544
65,555,540.040
66,64,63.306
67,276,269.767
68,95,89.527
69,169,164.777
70,161,159.051
71,87,83.268
72,84,81.024
73,248,242.952
74,188,182.668
75,138,136.154
76,347,342.905
77,83,79.471
78,169,164.359
79,849,829.761
80,195,191.739
81,248,240.635
82,260,242.154
83,378,370.181
84,259,254.532
85,184,180.123
86,154,148.814
87,176,166.438
88,160,152.886
89,177,165.992
90,269,264.471
91,323,309.805
92,373,360.652
93,284,275.642
94,97,92.536
95,217,210.555
96,661,656.260
97,401,392.936
98,383,378.092
99,176,170.961
100,261,255.127
101,138,134.366
102,96,91.163
103,413,397.939
104,95,91.467
105,144,135.717
106,240,234.590
107,386,370.745
108,197,190.732
109,173,165.624
110,158,150.475
111,365,350.032
112,160,156.654
113,192,186.660
114,140,132.595
115,178,168.973
116,173,169.507
117,130,125.667
118,120,116.728
119,420,405.307
120,225,218.608
121,114,110.702
122,183,179.149
123,258,253.957
124,339,333.195
125,150,146.026
126,360,348.527
127,165,162.901
128,267,259.350
129,649,641.174
130,172,165.035
131,285,281.627
132,165,157.609
133,97,93.902
134,139,137.962
135,423,418.480
136,185,182.506
137,190,187.090
138,169,164.483
139,136,133.524
140,68,66.365
141,48,46.837
142,203,199.924
143,91,88.534
144,145,142.359
145,145,142.359
146,277,274.380
147,135,132.236
148,136,132.766
149,72,70.569
150,105,102.573
151,113,111.266
152,107,104.693
153,94,90.149
154,218,211.843
155,42,41.241
