 ,Area,Length
1,515,461.820
2,408,360.445
3,159,151.371
4,246,237.562
5,223,215.530
6,426,405.291
7,192,181.081
8,412,384.148
9,227,214.121
10,318,302.130
11,285,270.961
12,208,195.903
13,250,237.877
14,143,139.573
15,302,288.266
16,110,105.181
17,249,233.733
18,167,158.334
19,150,146.752
20,214,203.232
21,116,111.897
22,66,61.239
23,82,76.484
24,96,90.815
25,90,88.034
26,112,109.001
27,102,98.617
28,100,94.497
29,163,152.982
30,387,365.214
31,258,245.000
32,161,156.574
33,134,125.608
34,47,43.867
35,136,132.077
36,147,137.443
37,190,177.077
38,111,104.640
39,73,69.228
40,64,59.594
41,132,125.770
42,58,56.492
43,125,122.650
44,125,122.650
45,142,131.955
46,102,99.370
47,114,112.033
48,108,103.546
49,234,225.268
50,73,71.330
51,37,33.640
52,401,393.475
53,311,299.676
54,69,66.799
55,194,183.296
56,89,83.087
57,290,278.197
58,152,145.059
59,138,126.114
60,70,63.234
61,37,31.925
62,122,118.783
63,57,52.184
64,73,67.926
65,148,140.352
66,86,77.692
67,190,181.331
